2026-08-18 22:59: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial28_20260818225933
2026-08-18 22:59: Train Epoch 1: 0/820 Loss: 0.951607
2026-08-18 22:59: Train Epoch 1: 20/820 Loss: 0.817285
2026-08-18 22:59: Train Epoch 1: 40/820 Loss: 0.719390
2026-08-18 22:59: Train Epoch 1: 60/820 Loss: 0.687661
2026-08-18 22:59: Train Epoch 1: 80/820 Loss: 0.642219
2026-08-18 22:59: Train Epoch 1: 100/820 Loss: 0.644730
2026-08-18 22:59: Train Epoch 1: 120/820 Loss: 0.598374
2026-08-18 22:59: Train Epoch 1: 140/820 Loss: 0.530561
2026-08-18 22:59: Train Epoch 1: 160/820 Loss: 0.474635
2026-08-18 22:59: Train Epoch 1: 180/820 Loss: 0.411510
2026-08-18 22:59: Train Epoch 1: 200/820 Loss: 0.452598
2026-08-18 22:59: Train Epoch 1: 220/820 Loss: 0.417596
2026-08-18 22:59: Train Epoch 1: 240/820 Loss: 0.434965
2026-08-18 22:59: Train Epoch 1: 260/820 Loss: 0.390125
2026-08-18 22:59: Train Epoch 1: 280/820 Loss: 0.428553
2026-08-18 22:59: Train Epoch 1: 300/820 Loss: 0.425284
2026-08-18 23:00: Train Epoch 1: 320/820 Loss: 0.385931
2026-08-18 23:00: Train Epoch 1: 340/820 Loss: 0.394601
2026-08-18 23:00: Train Epoch 1: 360/820 Loss: 0.372289
2026-08-18 23:00: Train Epoch 1: 380/820 Loss: 0.389939
2026-08-18 23:00: Train Epoch 1: 400/820 Loss: 0.408127
2026-08-18 23:00: Train Epoch 1: 420/820 Loss: 0.385647
2026-08-18 23:00: Train Epoch 1: 440/820 Loss: 0.359793
2026-08-18 23:00: Train Epoch 1: 460/820 Loss: 0.349078
2026-08-18 23:00: Train Epoch 1: 480/820 Loss: 0.363001
2026-08-18 23:00: Train Epoch 1: 500/820 Loss: 0.374324
2026-08-18 23:00: Train Epoch 1: 520/820 Loss: 0.365783
2026-08-18 23:00: Train Epoch 1: 540/820 Loss: 0.349691
2026-08-18 23:00: Train Epoch 1: 560/820 Loss: 0.351729
2026-08-18 23:00: Train Epoch 1: 580/820 Loss: 0.388337
2026-08-18 23:00: Train Epoch 1: 600/820 Loss: 0.340731
2026-08-18 23:00: Train Epoch 1: 620/820 Loss: 0.353987
2026-08-18 23:00: Train Epoch 1: 640/820 Loss: 0.362820
2026-08-18 23:00: Train Epoch 1: 660/820 Loss: 0.347288
2026-08-18 23:00: Train Epoch 1: 680/820 Loss: 0.359571
2026-08-18 23:00: Train Epoch 1: 700/820 Loss: 0.351201
2026-08-18 23:00: Train Epoch 1: 720/820 Loss: 0.336600
2026-08-18 23:00: Train Epoch 1: 740/820 Loss: 0.363104
2026-08-18 23:00: Train Epoch 1: 760/820 Loss: 0.359433
2026-08-18 23:00: Train Epoch 1: 780/820 Loss: 0.346732
2026-08-18 23:00: Train Epoch 1: 800/820 Loss: 0.358711
2026-08-18 23:00: **********Train Epoch 1: averaged Loss: 0.436281, tf_ratio: 1.000000
2026-08-18 23:00: **********Val Epoch 1: average Loss: 0.342463
2026-08-18 23:00: *********************************Current best model saved!
2026-08-18 23:00: Train Epoch 2: 0/820 Loss: 0.341176
2026-08-18 23:00: Train Epoch 2: 20/820 Loss: 0.354995
2026-08-18 23:00: Train Epoch 2: 40/820 Loss: 0.362652
2026-08-18 23:00: Train Epoch 2: 60/820 Loss: 0.345675
2026-08-18 23:00: Train Epoch 2: 80/820 Loss: 0.341150
2026-08-18 23:00: Train Epoch 2: 100/820 Loss: 0.348312
2026-08-18 23:00: Train Epoch 2: 120/820 Loss: 0.346356
2026-08-18 23:00: Train Epoch 2: 140/820 Loss: 0.322142
2026-08-18 23:00: Train Epoch 2: 160/820 Loss: 0.345191
2026-08-18 23:00: Train Epoch 2: 180/820 Loss: 0.350760
2026-08-18 23:00: Train Epoch 2: 200/820 Loss: 0.329322
2026-08-18 23:01: Train Epoch 2: 220/820 Loss: 0.334826
2026-08-18 23:01: Train Epoch 2: 240/820 Loss: 0.354380
2026-08-18 23:01: Train Epoch 2: 260/820 Loss: 0.340849
2026-08-18 23:01: Train Epoch 2: 280/820 Loss: 0.336459
2026-08-18 23:01: Train Epoch 2: 300/820 Loss: 0.332674
2026-08-18 23:01: Train Epoch 2: 320/820 Loss: 0.340914
2026-08-18 23:01: Train Epoch 2: 340/820 Loss: 0.340593
2026-08-18 23:01: Train Epoch 2: 360/820 Loss: 0.333379
2026-08-18 23:01: Train Epoch 2: 380/820 Loss: 0.350214
2026-08-18 23:01: Train Epoch 2: 400/820 Loss: 0.336395
2026-08-18 23:01: Train Epoch 2: 420/820 Loss: 0.319588
2026-08-18 23:01: Train Epoch 2: 440/820 Loss: 0.339119
2026-08-18 23:01: Train Epoch 2: 460/820 Loss: 0.328802
2026-08-18 23:01: Train Epoch 2: 480/820 Loss: 0.326583
2026-08-18 23:01: Train Epoch 2: 500/820 Loss: 0.331672
2026-08-18 23:01: Train Epoch 2: 520/820 Loss: 0.325563
2026-08-18 23:01: Train Epoch 2: 540/820 Loss: 0.333537
2026-08-18 23:01: Train Epoch 2: 560/820 Loss: 0.337648
2026-08-18 23:01: Train Epoch 2: 580/820 Loss: 0.330527
2026-08-18 23:01: Train Epoch 2: 600/820 Loss: 0.350336
2026-08-18 23:01: Train Epoch 2: 620/820 Loss: 0.340826
2026-08-18 23:01: Train Epoch 2: 640/820 Loss: 0.310991
2026-08-18 23:01: Train Epoch 2: 660/820 Loss: 0.324458
2026-08-18 23:01: Train Epoch 2: 680/820 Loss: 0.324160
2026-08-18 23:01: Train Epoch 2: 700/820 Loss: 0.318867
2026-08-18 23:01: Train Epoch 2: 720/820 Loss: 0.325560
2026-08-18 23:01: Train Epoch 2: 740/820 Loss: 0.347176
2026-08-18 23:01: Train Epoch 2: 760/820 Loss: 0.330203
2026-08-18 23:01: Train Epoch 2: 780/820 Loss: 0.345089
2026-08-18 23:01: Train Epoch 2: 800/820 Loss: 0.323007
2026-08-18 23:01: **********Train Epoch 2: averaged Loss: 0.336687, tf_ratio: 1.000000
2026-08-18 23:01: **********Val Epoch 2: average Loss: 0.331163
2026-08-18 23:01: *********************************Current best model saved!
2026-08-18 23:01: Train Epoch 3: 0/820 Loss: 0.326131
2026-08-18 23:01: Train Epoch 3: 20/820 Loss: 0.327531
2026-08-18 23:01: Train Epoch 3: 40/820 Loss: 0.341247
2026-08-18 23:01: Train Epoch 3: 60/820 Loss: 0.327936
2026-08-18 23:01: Train Epoch 3: 80/820 Loss: 0.314233
2026-08-18 23:02: Train Epoch 3: 100/820 Loss: 0.336749
2026-08-18 23:02: Train Epoch 3: 120/820 Loss: 0.328494
2026-08-18 23:02: Train Epoch 3: 140/820 Loss: 0.324313
2026-08-18 23:02: Train Epoch 3: 160/820 Loss: 0.326226
2026-08-18 23:02: Train Epoch 3: 180/820 Loss: 0.318908
2026-08-18 23:02: Train Epoch 3: 200/820 Loss: 0.341976
2026-08-18 23:02: Train Epoch 3: 220/820 Loss: 0.325226
