Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260820003627/run.log
2026-08-20 00:36: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260820003627
2026-08-20 00:40: **********Val Epoch 1: average Loss: 0.427269
2026-08-20 00:40: *********************************Current best model saved!
2026-08-20 00:40: Train Epoch 2: 0/1641 Loss: 0.431787
2026-08-20 00:40: Train Epoch 2: 20/1641 Loss: 0.461078
2026-08-20 00:40: Train Epoch 2: 40/1641 Loss: 0.415896
2026-08-20 00:40: Train Epoch 2: 60/1641 Loss: 0.430624
2026-08-20 00:40: Train Epoch 2: 80/1641 Loss: 0.470952
2026-08-20 00:40: Train Epoch 2: 100/1641 Loss: 0.423172
2026-08-20 00:40: Train Epoch 2: 120/1641 Loss: 0.439372
2026-08-20 00:40: Train Epoch 2: 140/1641 Loss: 0.449932
2026-08-20 00:40: Train Epoch 2: 160/1641 Loss: 0.463605
2026-08-20 00:40: Train Epoch 2: 180/1641 Loss: 0.451210
2026-08-20 00:41: Train Epoch 2: 200/1641 Loss: 0.433161
2026-08-20 00:41: Train Epoch 2: 220/1641 Loss: 0.434592
2026-08-20 00:41: Train Epoch 2: 240/1641 Loss: 0.505264
2026-08-20 00:41: Train Epoch 2: 260/1641 Loss: 0.432035
2026-08-20 00:41: Train Epoch 2: 280/1641 Loss: 0.477093
2026-08-20 00:41: Train Epoch 2: 300/1641 Loss: 0.460398
2026-08-20 00:41: Train Epoch 2: 320/1641 Loss: 0.458191
2026-08-20 00:41: Train Epoch 2: 340/1641 Loss: 0.481488
2026-08-20 00:41: Train Epoch 2: 360/1641 Loss: 0.423743
2026-08-20 00:41: Train Epoch 2: 380/1641 Loss: 0.457942
2026-08-20 00:41: Train Epoch 2: 400/1641 Loss: 0.423585
2026-08-20 00:41: Train Epoch 2: 420/1641 Loss: 0.446836
2026-08-20 00:41: Train Epoch 2: 440/1641 Loss: 0.444653
2026-08-20 00:41: Train Epoch 2: 460/1641 Loss: 0.461840
2026-08-20 00:41: Train Epoch 2: 480/1641 Loss: 0.452344
2026-08-20 00:41: Train Epoch 2: 500/1641 Loss: 0.433914
2026-08-20 00:41: Train Epoch 2: 520/1641 Loss: 0.467548
2026-08-20 00:41: Train Epoch 2: 540/1641 Loss: 0.428146
