Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819222740/run.log
2026-08-19 22:27: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819222740
2026-08-19 22:31: **********Val Epoch 1: average Loss: 0.429024
2026-08-19 22:31: *********************************Current best model saved!
2026-08-19 22:31: Train Epoch 2: 0/1641 Loss: 0.476424
2026-08-19 22:31: Train Epoch 2: 20/1641 Loss: 0.458725
2026-08-19 22:31: Train Epoch 2: 40/1641 Loss: 0.460460
2026-08-19 22:31: Train Epoch 2: 60/1641 Loss: 0.472874
2026-08-19 22:31: Train Epoch 2: 80/1641 Loss: 0.459701
2026-08-19 22:32: Train Epoch 2: 100/1641 Loss: 0.447376
2026-08-19 22:32: Train Epoch 2: 120/1641 Loss: 0.455123
2026-08-19 22:32: Train Epoch 2: 140/1641 Loss: 0.472793
2026-08-19 22:32: Train Epoch 2: 160/1641 Loss: 0.447898
2026-08-19 22:32: Train Epoch 2: 180/1641 Loss: 0.429831
2026-08-19 22:32: Train Epoch 2: 200/1641 Loss: 0.445913
2026-08-19 22:32: Train Epoch 2: 220/1641 Loss: 0.429857
2026-08-19 22:32: Train Epoch 2: 240/1641 Loss: 0.459327
2026-08-19 22:32: Train Epoch 2: 260/1641 Loss: 0.452374
2026-08-19 22:32: Train Epoch 2: 280/1641 Loss: 0.420383
2026-08-19 22:32: Train Epoch 2: 300/1641 Loss: 0.457856
2026-08-19 22:32: Train Epoch 2: 320/1641 Loss: 0.465662
2026-08-19 22:32: Train Epoch 2: 340/1641 Loss: 0.433192
2026-08-19 22:32: Train Epoch 2: 360/1641 Loss: 0.443398
2026-08-19 22:32: Train Epoch 2: 380/1641 Loss: 0.424451
2026-08-19 22:32: Train Epoch 2: 400/1641 Loss: 0.436222
2026-08-19 22:32: Train Epoch 2: 420/1641 Loss: 0.463465
2026-08-19 22:32: Train Epoch 2: 440/1641 Loss: 0.461379
2026-08-19 22:32: Train Epoch 2: 460/1641 Loss: 0.407838
2026-08-19 22:32: Train Epoch 2: 480/1641 Loss: 0.442472
2026-08-19 22:32: Train Epoch 2: 500/1641 Loss: 0.418256
2026-08-19 22:32: Train Epoch 2: 520/1641 Loss: 0.468991
2026-08-19 22:32: Train Epoch 2: 540/1641 Loss: 0.431336
2026-08-19 22:33: Train Epoch 2: 560/1641 Loss: 0.440982
2026-08-19 22:33: Train Epoch 2: 580/1641 Loss: 0.452363
2026-08-19 22:33: Train Epoch 2: 600/1641 Loss: 0.444320
2026-08-19 22:33: Train Epoch 2: 620/1641 Loss: 0.488211
2026-08-19 22:33: Train Epoch 2: 640/1641 Loss: 0.485559
2026-08-19 22:33: Train Epoch 2: 660/1641 Loss: 0.434985
2026-08-19 22:33: Train Epoch 2: 680/1641 Loss: 0.427700
2026-08-19 22:33: Train Epoch 2: 700/1641 Loss: 0.414314
2026-08-19 22:33: Train Epoch 2: 720/1641 Loss: 0.456264
2026-08-19 22:33: Train Epoch 2: 740/1641 Loss: 0.470892
2026-08-19 22:33: Train Epoch 2: 760/1641 Loss: 0.481635
2026-08-19 22:33: Train Epoch 2: 780/1641 Loss: 0.425037
2026-08-19 22:33: Train Epoch 2: 800/1641 Loss: 0.432488
2026-08-19 22:33: Train Epoch 2: 820/1641 Loss: 0.439545
2026-08-19 22:33: Train Epoch 2: 840/1641 Loss: 0.448563
2026-08-19 22:33: Train Epoch 2: 860/1641 Loss: 0.462838
2026-08-19 22:33: Train Epoch 2: 880/1641 Loss: 0.444254
2026-08-19 22:33: Train Epoch 2: 900/1641 Loss: 0.425967
2026-08-19 22:33: Train Epoch 2: 920/1641 Loss: 0.456445
2026-08-19 22:33: Train Epoch 2: 940/1641 Loss: 0.453247
2026-08-19 22:33: Train Epoch 2: 960/1641 Loss: 0.436793
2026-08-19 22:33: Train Epoch 2: 980/1641 Loss: 0.439709
2026-08-19 22:34: Train Epoch 2: 1000/1641 Loss: 0.450485
2026-08-19 22:34: Train Epoch 2: 1020/1641 Loss: 0.437922
2026-08-19 22:34: Train Epoch 2: 1040/1641 Loss: 0.448223
2026-08-19 22:34: Train Epoch 2: 1060/1641 Loss: 0.459516
2026-08-19 22:34: Train Epoch 2: 1080/1641 Loss: 0.469309
2026-08-19 22:34: Train Epoch 2: 1100/1641 Loss: 0.429494
2026-08-19 22:34: Train Epoch 2: 1120/1641 Loss: 0.439429
2026-08-19 22:34: Train Epoch 2: 1140/1641 Loss: 0.444438
2026-08-19 22:34: Train Epoch 2: 1160/1641 Loss: 0.477109
2026-08-19 22:34: Train Epoch 2: 1180/1641 Loss: 0.443798
2026-08-19 22:34: Train Epoch 2: 1200/1641 Loss: 0.444634
2026-08-19 22:34: Train Epoch 2: 1220/1641 Loss: 0.447854
2026-08-19 22:34: Train Epoch 2: 1240/1641 Loss: 0.441308
2026-08-19 22:34: Train Epoch 2: 1260/1641 Loss: 0.422685
2026-08-19 22:34: Train Epoch 2: 1280/1641 Loss: 0.467445
2026-08-19 22:34: Train Epoch 2: 1300/1641 Loss: 0.431275
2026-08-19 22:34: Train Epoch 2: 1320/1641 Loss: 0.462032
2026-08-19 22:34: Train Epoch 2: 1340/1641 Loss: 0.416683
2026-08-19 22:34: Train Epoch 2: 1360/1641 Loss: 0.466156
2026-08-19 22:34: Train Epoch 2: 1380/1641 Loss: 0.433356
2026-08-19 22:34: Train Epoch 2: 1400/1641 Loss: 0.444770
2026-08-19 22:34: Train Epoch 2: 1420/1641 Loss: 0.428529
2026-08-19 22:35: Train Epoch 2: 1440/1641 Loss: 0.459416
2026-08-19 22:35: Train Epoch 2: 1460/1641 Loss: 0.452603
2026-08-19 22:35: Train Epoch 2: 1480/1641 Loss: 0.445432
2026-08-19 22:35: Train Epoch 2: 1500/1641 Loss: 0.457815
2026-08-19 22:35: Train Epoch 2: 1520/1641 Loss: 0.434853
2026-08-19 22:35: Train Epoch 2: 1540/1641 Loss: 0.423858
2026-08-19 22:35: Train Epoch 2: 1560/1641 Loss: 0.422205
2026-08-19 22:35: Train Epoch 2: 1580/1641 Loss: 0.432298
2026-08-19 22:35: Train Epoch 2: 1600/1641 Loss: 0.437859
2026-08-19 22:35: Train Epoch 2: 1620/1641 Loss: 0.434166
2026-08-19 22:35: Train Epoch 2: 1640/1641 Loss: 0.419356
2026-08-19 22:35: **********Train Epoch 2: averaged Loss: 0.443468, tf_ratio: 0.997428
2026-08-19 22:35: **********Val Epoch 2: average Loss: 0.417836
2026-08-19 22:35: *********************************Current best model saved!
2026-08-19 22:35: Train Epoch 3: 0/1641 Loss: 0.422600
2026-08-19 22:35: Train Epoch 3: 20/1641 Loss: 0.409768
2026-08-19 22:35: Train Epoch 3: 40/1641 Loss: 0.421119
2026-08-19 22:35: Train Epoch 3: 60/1641 Loss: 0.417523
2026-08-19 22:36: Train Epoch 3: 80/1641 Loss: 0.445355
2026-08-19 22:36: Train Epoch 3: 100/1641 Loss: 0.458966
2026-08-19 22:36: Train Epoch 3: 120/1641 Loss: 0.406813
2026-08-19 22:36: Train Epoch 3: 140/1641 Loss: 0.430437
2026-08-19 22:36: Train Epoch 3: 160/1641 Loss: 0.441515
2026-08-19 22:36: Train Epoch 3: 180/1641 Loss: 0.435956
2026-08-19 22:36: Train Epoch 3: 200/1641 Loss: 0.428974
2026-08-19 22:36: Train Epoch 3: 220/1641 Loss: 0.433474
2026-08-19 22:36: Train Epoch 3: 240/1641 Loss: 0.425532
2026-08-19 22:36: Train Epoch 3: 260/1641 Loss: 0.441154
2026-08-19 22:36: Train Epoch 3: 280/1641 Loss: 0.369649
2026-08-19 22:36: Train Epoch 3: 300/1641 Loss: 0.433532
2026-08-19 22:36: Train Epoch 3: 320/1641 Loss: 0.439164
2026-08-19 22:36: Train Epoch 3: 340/1641 Loss: 0.450260
2026-08-19 22:36: Train Epoch 3: 360/1641 Loss: 0.408022
2026-08-19 22:36: Train Epoch 3: 380/1641 Loss: 0.410330
2026-08-19 22:36: Train Epoch 3: 400/1641 Loss: 0.459728
2026-08-19 22:36: Train Epoch 3: 420/1641 Loss: 0.413290
2026-08-19 22:36: Train Epoch 3: 440/1641 Loss: 0.418795
2026-08-19 22:36: Train Epoch 3: 460/1641 Loss: 0.453053
2026-08-19 22:36: Train Epoch 3: 480/1641 Loss: 0.424453
2026-08-19 22:36: Train Epoch 3: 500/1641 Loss: 0.413577
2026-08-19 22:37: Train Epoch 3: 520/1641 Loss: 0.402870
2026-08-19 22:37: Train Epoch 3: 540/1641 Loss: 0.431585
2026-08-19 22:37: Train Epoch 3: 560/1641 Loss: 0.405761
2026-08-19 22:37: Train Epoch 3: 580/1641 Loss: 0.437821
2026-08-19 22:37: Train Epoch 3: 600/1641 Loss: 0.409930
2026-08-19 22:37: Train Epoch 3: 620/1641 Loss: 0.455287
2026-08-19 22:37: Train Epoch 3: 640/1641 Loss: 0.428730
2026-08-19 22:37: Train Epoch 3: 660/1641 Loss: 0.425587
2026-08-19 22:37: Train Epoch 3: 680/1641 Loss: 0.450920
2026-08-19 22:37: Train Epoch 3: 700/1641 Loss: 0.415506
2026-08-19 22:37: Train Epoch 3: 720/1641 Loss: 0.468785
2026-08-19 22:37: Train Epoch 3: 740/1641 Loss: 0.427669
2026-08-19 22:37: Train Epoch 3: 760/1641 Loss: 0.423407
2026-08-19 22:37: Train Epoch 3: 780/1641 Loss: 0.399522
2026-08-19 22:37: Train Epoch 3: 800/1641 Loss: 0.454750
2026-08-19 22:37: Train Epoch 3: 820/1641 Loss: 0.446878
2026-08-19 22:37: Train Epoch 3: 840/1641 Loss: 0.453821
2026-08-19 22:37: Train Epoch 3: 860/1641 Loss: 0.476592
2026-08-19 22:37: Train Epoch 3: 880/1641 Loss: 0.416287
2026-08-19 22:37: Train Epoch 3: 900/1641 Loss: 0.440692
2026-08-19 22:37: Train Epoch 3: 920/1641 Loss: 0.481398
2026-08-19 22:37: Train Epoch 3: 940/1641 Loss: 0.433212
2026-08-19 22:37: Train Epoch 3: 960/1641 Loss: 0.387381
2026-08-19 22:38: Train Epoch 3: 980/1641 Loss: 0.422642
2026-08-19 22:38: Train Epoch 3: 1000/1641 Loss: 0.433665
2026-08-19 22:38: Train Epoch 3: 1020/1641 Loss: 0.400797
2026-08-19 22:38: Train Epoch 3: 1040/1641 Loss: 0.463656
2026-08-19 22:38: Train Epoch 3: 1060/1641 Loss: 0.438430
2026-08-19 22:38: Train Epoch 3: 1080/1641 Loss: 0.435205
2026-08-19 22:38: Train Epoch 3: 1100/1641 Loss: 0.431138
2026-08-19 22:38: Train Epoch 3: 1120/1641 Loss: 0.428672
2026-08-19 22:38: Train Epoch 3: 1140/1641 Loss: 0.429774
2026-08-19 22:38: Train Epoch 3: 1160/1641 Loss: 0.444053
2026-08-19 22:38: Train Epoch 3: 1180/1641 Loss: 0.431697
2026-08-19 22:38: Train Epoch 3: 1200/1641 Loss: 0.439322
2026-08-19 22:38: Train Epoch 3: 1220/1641 Loss: 0.421841
2026-08-19 22:38: Train Epoch 3: 1240/1641 Loss: 0.402811
2026-08-19 22:38: Train Epoch 3: 1260/1641 Loss: 0.417621
2026-08-19 22:38: Train Epoch 3: 1280/1641 Loss: 0.433756
2026-08-19 22:38: Train Epoch 3: 1300/1641 Loss: 0.430837
2026-08-19 22:38: Train Epoch 3: 1320/1641 Loss: 0.438798
2026-08-19 22:38: Train Epoch 3: 1340/1641 Loss: 0.426509
2026-08-19 22:38: Train Epoch 3: 1360/1641 Loss: 0.424760
2026-08-19 22:38: Train Epoch 3: 1380/1641 Loss: 0.440679
2026-08-19 22:38: Train Epoch 3: 1400/1641 Loss: 0.418158
2026-08-19 22:39: Train Epoch 3: 1420/1641 Loss: 0.453178
2026-08-19 22:39: Train Epoch 3: 1440/1641 Loss: 0.430085
2026-08-19 22:39: Train Epoch 3: 1460/1641 Loss: 0.418403
2026-08-19 22:39: Train Epoch 3: 1480/1641 Loss: 0.465999
2026-08-19 22:39: Train Epoch 3: 1500/1641 Loss: 0.405734
2026-08-19 22:39: Train Epoch 3: 1520/1641 Loss: 0.435101
2026-08-19 22:39: Train Epoch 3: 1540/1641 Loss: 0.411470
2026-08-19 22:39: Train Epoch 3: 1560/1641 Loss: 0.429531
2026-08-19 22:39: Train Epoch 3: 1580/1641 Loss: 0.420143
2026-08-19 22:39: Train Epoch 3: 1600/1641 Loss: 0.429657
2026-08-19 22:39: Train Epoch 3: 1620/1641 Loss: 0.415140
2026-08-19 22:39: Train Epoch 3: 1640/1641 Loss: 0.464268
2026-08-19 22:39: **********Train Epoch 3: averaged Loss: 0.431614, tf_ratio: 0.994176
2026-08-19 22:39: **********Val Epoch 3: average Loss: 0.410482
2026-08-19 22:39: *********************************Current best model saved!
2026-08-19 22:39: Train Epoch 4: 0/1641 Loss: 0.398149
2026-08-19 22:39: Train Epoch 4: 20/1641 Loss: 0.396670
2026-08-19 22:39: Train Epoch 4: 40/1641 Loss: 0.407207
2026-08-19 22:40: Train Epoch 4: 60/1641 Loss: 0.451457
2026-08-19 22:40: Train Epoch 4: 80/1641 Loss: 0.409071
2026-08-19 22:40: Train Epoch 4: 100/1641 Loss: 0.421084
2026-08-19 22:40: Train Epoch 4: 120/1641 Loss: 0.423509
2026-08-19 22:40: Train Epoch 4: 140/1641 Loss: 0.399598
2026-08-19 22:40: Train Epoch 4: 160/1641 Loss: 0.423021
2026-08-19 22:40: Train Epoch 4: 180/1641 Loss: 0.397203
2026-08-19 22:40: Train Epoch 4: 200/1641 Loss: 0.425987
2026-08-19 22:40: Train Epoch 4: 220/1641 Loss: 0.408847
2026-08-19 22:40: Train Epoch 4: 240/1641 Loss: 0.415594
2026-08-19 22:40: Train Epoch 4: 260/1641 Loss: 0.421884
2026-08-19 22:40: Train Epoch 4: 280/1641 Loss: 0.420428
2026-08-19 22:40: Train Epoch 4: 300/1641 Loss: 0.448633
2026-08-19 22:40: Train Epoch 4: 320/1641 Loss: 0.437197
2026-08-19 22:40: Train Epoch 4: 340/1641 Loss: 0.437384
2026-08-19 22:40: Train Epoch 4: 360/1641 Loss: 0.419026
2026-08-19 22:40: Train Epoch 4: 380/1641 Loss: 0.411632
2026-08-19 22:40: Train Epoch 4: 400/1641 Loss: 0.397964
2026-08-19 22:40: Train Epoch 4: 420/1641 Loss: 0.393095
2026-08-19 22:40: Train Epoch 4: 440/1641 Loss: 0.424791
2026-08-19 22:40: Train Epoch 4: 460/1641 Loss: 0.404821
2026-08-19 22:40: Train Epoch 4: 480/1641 Loss: 0.424993
2026-08-19 22:41: Train Epoch 4: 500/1641 Loss: 0.407765
2026-08-19 22:41: Train Epoch 4: 520/1641 Loss: 0.409443
2026-08-19 22:41: Train Epoch 4: 540/1641 Loss: 0.431125
2026-08-19 22:41: Train Epoch 4: 560/1641 Loss: 0.426843
2026-08-19 22:41: Train Epoch 4: 580/1641 Loss: 0.419603
2026-08-19 22:41: Train Epoch 4: 600/1641 Loss: 0.428486
2026-08-19 22:41: Train Epoch 4: 620/1641 Loss: 0.432851
2026-08-19 22:41: Train Epoch 4: 640/1641 Loss: 0.436087
2026-08-19 22:41: Train Epoch 4: 660/1641 Loss: 0.414046
2026-08-19 22:41: Train Epoch 4: 680/1641 Loss: 0.472294
2026-08-19 22:41: Train Epoch 4: 700/1641 Loss: 0.420718
2026-08-19 22:41: Train Epoch 4: 720/1641 Loss: 0.448000
2026-08-19 22:41: Train Epoch 4: 740/1641 Loss: 0.421344
2026-08-19 22:41: Train Epoch 4: 760/1641 Loss: 0.394029
2026-08-19 22:41: Train Epoch 4: 780/1641 Loss: 0.443942
2026-08-19 22:41: Train Epoch 4: 800/1641 Loss: 0.403064
2026-08-19 22:41: Train Epoch 4: 820/1641 Loss: 0.448904
2026-08-19 22:41: Train Epoch 4: 840/1641 Loss: 0.433569
2026-08-19 22:41: Train Epoch 4: 860/1641 Loss: 0.426238
2026-08-19 22:41: Train Epoch 4: 880/1641 Loss: 0.416360
2026-08-19 22:41: Train Epoch 4: 900/1641 Loss: 0.415052
2026-08-19 22:41: Train Epoch 4: 920/1641 Loss: 0.431843
2026-08-19 22:41: Train Epoch 4: 940/1641 Loss: 0.440591
2026-08-19 22:42: Train Epoch 4: 960/1641 Loss: 0.436261
2026-08-19 22:42: Train Epoch 4: 980/1641 Loss: 0.449408
2026-08-19 22:42: Train Epoch 4: 1000/1641 Loss: 0.438986
2026-08-19 22:42: Train Epoch 4: 1020/1641 Loss: 0.432654
