2026-08-17 22:48: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial8_20260817224838
2026-08-17 22:48: Train Epoch 1: 0/410 Loss: 0.869549
2026-08-17 22:48: Train Epoch 1: 20/410 Loss: 0.685941
2026-08-17 22:48: Train Epoch 1: 40/410 Loss: 0.614024
2026-08-17 22:49: Train Epoch 1: 60/410 Loss: 0.560442
2026-08-17 22:49: Train Epoch 1: 80/410 Loss: 0.436050
2026-08-17 22:49: Train Epoch 1: 100/410 Loss: 0.406024
2026-08-17 22:49: Train Epoch 1: 120/410 Loss: 0.389813
2026-08-17 22:49: Train Epoch 1: 140/410 Loss: 0.393903
2026-08-17 22:49: Train Epoch 1: 160/410 Loss: 0.369882
2026-08-17 22:49: Train Epoch 1: 180/410 Loss: 0.382099
2026-08-17 22:49: Train Epoch 1: 200/410 Loss: 0.354863
2026-08-17 22:50: Train Epoch 1: 220/410 Loss: 0.339775
2026-08-17 22:50: Train Epoch 1: 240/410 Loss: 0.344443
2026-08-17 22:50: Train Epoch 1: 260/410 Loss: 0.354076
2026-08-17 22:50: Train Epoch 1: 280/410 Loss: 0.337493
2026-08-17 22:50: Train Epoch 1: 300/410 Loss: 0.336821
2026-08-17 22:50: Train Epoch 1: 320/410 Loss: 0.359140
2026-08-17 22:50: Train Epoch 1: 340/410 Loss: 0.359101
2026-08-17 22:50: Train Epoch 1: 360/410 Loss: 0.329818
2026-08-17 22:50: Train Epoch 1: 380/410 Loss: 0.349168
2026-08-17 22:51: Train Epoch 1: 400/410 Loss: 0.323751
2026-08-17 22:51: **********Train Epoch 1: averaged Loss: 0.410726, tf_ratio: 1.000000
2026-08-17 22:51: **********Val Epoch 1: average Loss: 0.324470
2026-08-17 22:51: *********************************Current best model saved!
2026-08-17 22:51: Train Epoch 2: 0/410 Loss: 0.326460
2026-08-17 22:51: Train Epoch 2: 20/410 Loss: 0.310773
2026-08-17 22:51: Train Epoch 2: 40/410 Loss: 0.324110
2026-08-17 22:51: Train Epoch 2: 60/410 Loss: 0.318178
2026-08-17 22:51: Train Epoch 2: 80/410 Loss: 0.320807
2026-08-17 22:52: Train Epoch 2: 100/410 Loss: 0.336512
2026-08-17 22:52: Train Epoch 2: 120/410 Loss: 0.311599
2026-08-17 22:52: Train Epoch 2: 140/410 Loss: 0.318455
2026-08-17 22:52: Train Epoch 2: 160/410 Loss: 0.308823
2026-08-17 22:52: Train Epoch 2: 180/410 Loss: 0.310418
2026-08-17 22:52: Train Epoch 2: 200/410 Loss: 0.306184
2026-08-17 22:52: Train Epoch 2: 220/410 Loss: 0.306245
2026-08-17 22:52: Train Epoch 2: 240/410 Loss: 0.305163
2026-08-17 22:53: Train Epoch 2: 260/410 Loss: 0.318710
2026-08-17 22:53: Train Epoch 2: 280/410 Loss: 0.318451
2026-08-17 22:53: Train Epoch 2: 300/410 Loss: 0.317883
2026-08-17 22:53: Train Epoch 2: 320/410 Loss: 0.307781
2026-08-17 22:53: Train Epoch 2: 340/410 Loss: 0.320114
2026-08-17 22:53: Train Epoch 2: 360/410 Loss: 0.311361
2026-08-17 22:53: Train Epoch 2: 380/410 Loss: 0.310044
2026-08-17 22:53: Train Epoch 2: 400/410 Loss: 0.302151
2026-08-17 22:53: **********Train Epoch 2: averaged Loss: 0.316764, tf_ratio: 1.000000
2026-08-17 22:54: **********Val Epoch 2: average Loss: 0.315028
2026-08-17 22:54: *********************************Current best model saved!
2026-08-17 22:54: Train Epoch 3: 0/410 Loss: 0.299143
2026-08-17 22:54: Train Epoch 3: 20/410 Loss: 0.317874
2026-08-17 22:54: Train Epoch 3: 40/410 Loss: 0.308609
2026-08-17 22:54: Train Epoch 3: 60/410 Loss: 0.303171
2026-08-17 22:54: Train Epoch 3: 80/410 Loss: 0.287468
2026-08-17 22:54: Train Epoch 3: 100/410 Loss: 0.307963
2026-08-17 22:54: Train Epoch 3: 120/410 Loss: 0.298902
2026-08-17 22:55: Train Epoch 3: 140/410 Loss: 0.300628
2026-08-17 22:55: Train Epoch 3: 160/410 Loss: 0.286160
2026-08-17 22:55: Train Epoch 3: 180/410 Loss: 0.304770
2026-08-17 22:55: Train Epoch 3: 200/410 Loss: 0.298686
2026-08-17 22:55: Train Epoch 3: 220/410 Loss: 0.291471
2026-08-17 22:55: Train Epoch 3: 240/410 Loss: 0.295194
2026-08-17 22:55: Train Epoch 3: 260/410 Loss: 0.287215
2026-08-17 22:55: Train Epoch 3: 280/410 Loss: 0.306610
2026-08-17 22:56: Train Epoch 3: 300/410 Loss: 0.297424
2026-08-17 22:56: Train Epoch 3: 320/410 Loss: 0.274824
2026-08-17 22:56: Train Epoch 3: 340/410 Loss: 0.283175
2026-08-17 22:56: Train Epoch 3: 360/410 Loss: 0.282225
2026-08-17 22:56: Train Epoch 3: 380/410 Loss: 0.301944
2026-08-17 22:56: Train Epoch 3: 400/410 Loss: 0.284856
2026-08-17 22:56: **********Train Epoch 3: averaged Loss: 0.296465, tf_ratio: 1.000000
2026-08-17 22:56: **********Val Epoch 3: average Loss: 0.320272
2026-08-17 22:56: Train Epoch 4: 0/410 Loss: 0.277642
2026-08-17 22:57: Train Epoch 4: 20/410 Loss: 0.285412
2026-08-17 22:57: Train Epoch 4: 40/410 Loss: 0.292923
2026-08-17 22:57: Train Epoch 4: 60/410 Loss: 0.267119
2026-08-17 22:57: Train Epoch 4: 80/410 Loss: 0.281621
2026-08-17 22:57: Train Epoch 4: 100/410 Loss: 0.276738
2026-08-17 22:57: Train Epoch 4: 120/410 Loss: 0.266998
2026-08-17 22:57: Train Epoch 4: 140/410 Loss: 0.267723
2026-08-17 22:57: Train Epoch 4: 160/410 Loss: 0.268456
2026-08-17 22:58: Train Epoch 4: 180/410 Loss: 0.273680
2026-08-17 22:58: Train Epoch 4: 200/410 Loss: 0.277349
2026-08-17 22:58: Train Epoch 4: 220/410 Loss: 0.271982
2026-08-17 22:58: Train Epoch 4: 240/410 Loss: 0.261287
2026-08-17 22:58: Train Epoch 4: 260/410 Loss: 0.264350
2026-08-17 22:58: Train Epoch 4: 280/410 Loss: 0.259842
2026-08-17 22:58: Train Epoch 4: 300/410 Loss: 0.257623
2026-08-17 22:58: Train Epoch 4: 320/410 Loss: 0.261074
2026-08-17 22:59: Train Epoch 4: 340/410 Loss: 0.261733
2026-08-17 22:59: Train Epoch 4: 360/410 Loss: 0.249258
2026-08-17 22:59: Train Epoch 4: 380/410 Loss: 0.254933
2026-08-17 22:59: Train Epoch 4: 400/410 Loss: 0.256442
