Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260815222411/run.log
2026-08-15 22:24: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260815222411
2026-08-15 22:26: Train Epoch 2: 720/958 Loss: 2.139425
2026-08-15 22:26: Train Epoch 2: 740/958 Loss: 2.150761
2026-08-15 22:26: Train Epoch 2: 760/958 Loss: 2.222559
2026-08-15 22:26: Train Epoch 2: 780/958 Loss: 2.069456
2026-08-15 22:26: Train Epoch 2: 800/958 Loss: 2.193906
2026-08-15 22:26: Train Epoch 2: 820/958 Loss: 2.076154
2026-08-15 22:26: Train Epoch 2: 840/958 Loss: 2.203068
2026-08-15 22:26: Train Epoch 2: 860/958 Loss: 2.091955
2026-08-15 22:26: Train Epoch 2: 880/958 Loss: 2.118236
2026-08-15 22:26: Train Epoch 2: 900/958 Loss: 2.064483
2026-08-15 22:26: Train Epoch 2: 920/958 Loss: 2.148887
2026-08-15 22:26: Train Epoch 2: 940/958 Loss: 2.184534
2026-08-15 22:26: **********Train Epoch 2: averaged Loss: 2.187264, tf_ratio: 0.998699
2026-08-15 22:26: **********Val Epoch 2: average Loss: 2.143275
2026-08-15 22:26: *********************************Current best model saved!
2026-08-15 22:26: Train Epoch 3: 0/958 Loss: 2.235254
2026-08-15 22:26: Train Epoch 3: 20/958 Loss: 2.118905
2026-08-15 22:26: Train Epoch 3: 40/958 Loss: 1.953950
2026-08-15 22:26: Train Epoch 3: 60/958 Loss: 2.062953
2026-08-15 22:26: Train Epoch 3: 80/958 Loss: 2.007949
2026-08-15 22:26: Train Epoch 3: 100/958 Loss: 2.144216
2026-08-15 22:26: Train Epoch 3: 120/958 Loss: 2.010080
2026-08-15 22:26: Train Epoch 3: 140/958 Loss: 2.074676
2026-08-15 22:26: Train Epoch 3: 160/958 Loss: 2.084126
2026-08-15 22:26: Train Epoch 3: 180/958 Loss: 2.057137
2026-08-15 22:26: Train Epoch 3: 200/958 Loss: 1.955850
2026-08-15 22:26: Train Epoch 3: 220/958 Loss: 2.060639
2026-08-15 22:26: Train Epoch 3: 240/958 Loss: 2.211891
