data.name,model,model.N,model.epsilon_theta,model.d_h,model.T_h,model.T_p,model.sample_strategy,model.sample_steps,model.beta_end,n_samples,epoch,best_epoch,batch_size,lr,wd,early_stop,is_test,log_time,mae,rmse,mape,crps,mis,time,model_path,log_path,forecast_path
SAWS,UGnet,300,UGnet,16,12,24,ddim_multi,40,0.1,8,30,26,8,0.002,1e-05,10,False,8:33:41,2.2135723,2.9946432,inf,0.09880299317209344,25.704645,698.1434681367828,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+16+300+quad+0.1+200+ddpm+12+8+True+SAWS+0.2+False+False+0.002+8+30+diffstg_saws_tuning_v2+NoneN-300+T_h-12+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+16+300+quad+0.1+200+ddpm+12+8+True+SAWS+0.2+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+16+300+quad+0.1+200+ddpm+12+8+True+SAWS+0.2+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.pkl
SAWS,UGnet,300,UGnet,16,24,24,ddim_multi,40,0.4,8,30,28,16,0.002,1e-05,10,False,9:8:15,39.683464,465.97336,inf,1.8596155267012746,888.32495,913.1013274191646,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+16+300+quad+0.4+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+16+30+diffstg_saws_tuning_batch+NoneN-300+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+16+300+quad+0.4+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+16+30+diffstg_saws_tuning_batch+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+16+300+quad+0.4+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+16+30+diffstg_saws_tuning_batch+None.pkl
SAWS,UGnet,200,UGnet,16,48,24,ddim_multi,40,0.4,8,30,28,16,0.002,1e-05,10,False,18:31:58,3.487498,4.7011514,inf,0.15357810572574013,36.09115,1381.8233195050852,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+16+200+quad+0.4+50+ddpm+48+8+True+SAWS+0.0+False+False+0.002+16+30+diffstg_saws_tuning_batch+NoneN-200+T_h-48+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+16+200+quad+0.4+50+ddpm+48+8+True+SAWS+0.0+False+False+0.002+16+30+diffstg_saws_tuning_batch+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+16+200+quad+0.4+50+ddpm+48+8+True+SAWS+0.0+False+False+0.002+16+30+diffstg_saws_tuning_batch+None.pkl
SAWS,UGnet,200,UGnet,16,12,24,ddim_multi,40,0.2,8,30,26,32,0.002,1e-05,10,False,0:6:11,2.5127563,3.4167497,inf,0.11363123592577483,32.493523,698.987762011122,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+16+200+quad+0.2+100+ddpm+12+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+NoneN-200+T_h-12+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+16+200+quad+0.2+100+ddpm+12+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+16+200+quad+0.2+100+ddpm+12+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+None.pkl
SAWS,UGnet,200,UGnet,64,12,24,ddim_multi,40,0.4,8,30,3,32,0.002,1e-05,10,False,8:30:38,89694170000000.0,170584120000000.0,inf,3155835168875.7896,779968140000000.0,2855.9158365710173,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+64+200+quad+0.4+200+ddpm+12+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+NoneN-200+T_h-12+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+64+200+quad+0.4+200+ddpm+12+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+64+200+quad+0.4+200+ddpm+12+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+None.pkl
SAWS,UGnet,200,UGnet,32,12,24,ddim_multi,40,0.4,8,30,29,32,0.002,1e-05,10,False,16:46:16,2.2731733,3.1005905,inf,0.10351896286010742,31.144983,1345.2696405403549,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+200+quad+0.4+100+ddpm+12+8+True+SAWS+0.2+False+False+0.002+32+30+diffstg_saws_tuning_batch+NoneN-200+T_h-12+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+200+quad+0.4+100+ddpm+12+8+True+SAWS+0.2+False+False+0.002+32+30+diffstg_saws_tuning_batch+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+200+quad+0.4+100+ddpm+12+8+True+SAWS+0.2+False+False+0.002+32+30+diffstg_saws_tuning_batch+None.pkl
SAWS,UGnet,300,UGnet,32,24,24,ddim_multi,40,0.1,8,300,40,8,0.002,1e-05,10,False,16:50:57,0.37145087,0.5219337,144.158,0.35141530789827047,4.803249,1761.755417068256,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_run_seed2024+NoneN-300+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_run_seed2024+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_run_seed2024+None.pkl
SAWS,UGnet,300,UGnet,32,24,24,ddim_multi,40,0.1,8,300,40,8,0.002,1e-05,10,False,20:6:18,0.37145087,0.5219337,144.158,0.35141530789827047,4.803249,1781.4377569530625,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_run_seed2025+NoneN-300+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_run_seed2025+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_run_seed2025+None.pkl
SAWS,UGnet,300,UGnet,32,24,24,ddim_multi,40,0.1,8,300,40,8,0.002,1e-05,10,False,4:23:6,0.37145087,0.5219337,144.158,0.35141530789827047,4.803249,1774.81329575181,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_run_seed2026+NoneN-300+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_run_seed2026+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_run_seed2026+None.pkl
SAWS,UGnet,300,UGnet,32,24,48,ddim_multi,40,0.1,8,300,inf,8,0.002,1e-05,10,False,17:13:39,0.5241351,0.73942626,220.18016,0.5480864675421464,6.794849,2644.095706623979,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_WD_seed2025+NoneN-300+T_h-24+T_p-48+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_WD_seed2025+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_WD_seed2025+None.pkl
SAWS,UGnet,300,UGnet,32,24,48,ddim_multi,40,0.1,8,300,inf,8,0.002,1e-05,10,False,17:13:49,0.5239971,0.73920906,219.9682,0.5478754545512953,6.784061,2657.5638258967083,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_WD_seed2024+NoneN-300+T_h-24+T_p-48+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_WD_seed2024+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_WD_seed2024+None.pkl
SAWS,UGnet,300,UGnet,32,24,48,ddim_multi,40,0.1,8,300,inf,8,0.002,1e-05,10,False,18:4:9,0.5239886,0.73922485,219.74313,0.5478368056447882,6.7879863,2649.9285053345375,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_WD_seed2026+NoneN-300+T_h-24+T_p-48+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_WD_seed2026+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+1+diffstg_WD_seed2026+None.pkl
