data.name,model,model.N,model.epsilon_theta,model.d_h,model.T_h,model.T_p,model.sample_strategy,model.sample_steps,model.beta_end,n_samples,epoch,best_epoch,batch_size,lr,wd,early_stop,is_test,log_time,mae,rmse,mape,crps,mis,time,model_path,log_path,forecast_path
SAWS,UGnet,100,UGnet,32,48,24,ddim_multi,40,0.4,8,30,22,32,0.002,1e-05,10,False,10:44:46,3.919959,5.18219,inf,0.17386418894717567,46.06103,2665.0376573787653,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+100+quad+0.4+50+ddpm+48+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+NoneN-100+T_h-48+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+100+quad+0.4+50+ddpm+48+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+100+quad+0.4+50+ddpm+48+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+None.pkl
SAWS,UGnet,200,UGnet,32,24,24,ddim_multi,40,0.1,8,30,28,8,0.002,1e-05,10,False,5:32:27,3.330822,4.4308186,inf,0.15884272675765188,62.515762,1757.7707924434217,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+200+quad+0.1+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning_v2+NoneN-200+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+200+quad+0.1+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.pkl
SAWS,UGnet,300,UGnet,16,24,24,ddim_multi,40,0.4,8,30,28,16,0.002,1e-05,10,False,14:46:18,39.683464,465.97336,inf,1.8596155267012746,888.32495,908.9483895079466,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+16+300+quad+0.4+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+16+30+diffstg_saws_tuning_batch+NoneN-300+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+16+300+quad+0.4+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+16+30+diffstg_saws_tuning_batch+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+16+300+quad+0.4+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+16+30+diffstg_saws_tuning_batch+None.pkl
SAWS,UGnet,300,UGnet,32,24,24,ddim_multi,40,0.1,8,30,25,8,0.002,1e-05,10,False,21:29:23,2.0518172,2.776367,inf,0.09257699941333972,26.345173,1757.1068690516986,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+30+diffstg_saws_tuning_v2+NoneN-300+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.pkl
SAWS,UGnet,200,UGnet,16,48,24,ddim_multi,40,0.4,8,30,28,16,0.002,1e-05,10,False,0:11:25,3.487498,4.7011514,inf,0.15357810572574013,36.09115,1376.1982701334637,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+16+200+quad+0.4+50+ddpm+48+8+True+SAWS+0.0+False+False+0.002+16+30+diffstg_saws_tuning_batch+NoneN-200+T_h-48+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+16+200+quad+0.4+50+ddpm+48+8+True+SAWS+0.0+False+False+0.002+16+30+diffstg_saws_tuning_batch+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+16+200+quad+0.4+50+ddpm+48+8+True+SAWS+0.0+False+False+0.002+16+30+diffstg_saws_tuning_batch+None.pkl
SAWS,UGnet,200,UGnet,16,12,24,ddim_multi,40,0.4,8,30,27,32,0.002,1e-05,10,False,5:40:7,2.342489,3.1920412,inf,0.10698373694168894,32.980953,694.4116412305739,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+16+200+quad+0.4+100+ddpm+12+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+NoneN-200+T_h-12+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+16+200+quad+0.4+100+ddpm+12+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+16+200+quad+0.4+100+ddpm+12+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+None.pkl
SAWS,UGnet,300,UGnet,32,12,24,ddim_multi,40,0.4,8,30,28,8,0.002,1e-05,10,False,9:53:28,80.08054,784.373,inf,3.0845537687602795,1070.3187,1334.1631594311912,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+300+quad+0.4+100+ddpm+12+8+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning_v2+NoneN-300+T_h-12+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+300+quad+0.4+100+ddpm+12+8+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+300+quad+0.4+100+ddpm+12+8+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.pkl
SAWS,UGnet,100,UGnet,32,48,24,ddim_multi,40,0.4,8,30,22,32,0.002,1e-05,10,False,15:15:39,3.919959,5.18219,inf,0.17386418894717567,46.06103,2685.2705030142097,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+100+quad+0.4+50+ddpm+48+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+NoneN-100+T_h-48+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+100+quad+0.4+50+ddpm+48+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+100+quad+0.4+50+ddpm+48+8+True+SAWS+0.0+False+False+0.002+32+30+diffstg_saws_tuning_batch+None.pkl
SAWS,UGnet,200,UGnet,32,24,24,ddim_multi,40,0.1,8,30,28,8,0.002,1e-05,10,False,7:53:5,3.330822,4.4308186,inf,0.15884272675765188,62.515762,1789.2165002942784,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+200+quad+0.1+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning_v2+NoneN-200+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+200+quad+0.1+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+50+ddpm+24+8+True+SAWS+0.75+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.pkl
SAWS,UGnet,300,UGnet,32,24,24,ddim_multi,40,0.1,8,30,25,8,0.002,1e-05,10,False,0:3:0,2.0518172,2.776367,inf,0.09257699941333972,26.345173,1786.5611653967062,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/model/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+30+diffstg_saws_tuning_v2+NoneN-300+T_h-24+T_p-24+epsilon_theta-UGnet.dm4stg,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/log//UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.log,/scratch/chkkar002/Diffusion_Based_STGNNs/DiffSTG/output/forecast/UGnet+32+300+quad+0.1+200+ddpm+24+8+True+SAWS+0.2+False+False+0.002+8+30+diffstg_saws_tuning_v2+None.pkl
