2026-08-17 05:38: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260817053820
2026-08-17 05:40: *********************************Current best model saved!
2026-08-17 05:40: Train Epoch 3: 0/821 Loss: 0.294635
2026-08-17 05:40: Train Epoch 3: 20/821 Loss: 0.285547
2026-08-17 05:40: Train Epoch 3: 40/821 Loss: 0.316262
2026-08-17 05:40: Train Epoch 3: 60/821 Loss: 0.295580
2026-08-17 05:40: Train Epoch 3: 80/821 Loss: 0.295272
2026-08-17 05:40: Train Epoch 3: 100/821 Loss: 0.304059
2026-08-17 05:40: Train Epoch 3: 120/821 Loss: 0.290265
2026-08-17 05:40: Train Epoch 3: 140/821 Loss: 0.291872
2026-08-17 05:40: Train Epoch 3: 160/821 Loss: 0.300342
2026-08-17 05:40: Train Epoch 3: 180/821 Loss: 0.308867
2026-08-17 05:40: Train Epoch 3: 200/821 Loss: 0.280264
2026-08-17 05:40: Train Epoch 3: 220/821 Loss: 0.298874
2026-08-17 05:40: Train Epoch 3: 240/821 Loss: 0.307553
2026-08-17 05:40: Train Epoch 3: 260/821 Loss: 0.289326
2026-08-17 05:40: Train Epoch 3: 280/821 Loss: 0.294040
2026-08-17 05:40: Train Epoch 3: 300/821 Loss: 0.290329
2026-08-17 05:40: Train Epoch 3: 320/821 Loss: 0.276993
2026-08-17 05:40: Train Epoch 3: 340/821 Loss: 0.285984
2026-08-17 05:40: Train Epoch 3: 360/821 Loss: 0.288045
2026-08-17 05:41: Train Epoch 3: 380/821 Loss: 0.273429
2026-08-17 05:41: Train Epoch 3: 400/821 Loss: 0.301533
2026-08-17 05:41: Train Epoch 3: 420/821 Loss: 0.283155
2026-08-17 05:41: Train Epoch 3: 440/821 Loss: 0.278699
2026-08-17 05:41: Train Epoch 3: 460/821 Loss: 0.283939
2026-08-17 05:41: Train Epoch 3: 480/821 Loss: 0.286944
2026-08-17 05:41: Train Epoch 3: 500/821 Loss: 0.291356
2026-08-17 05:41: Train Epoch 3: 520/821 Loss: 0.260941
2026-08-17 05:41: Train Epoch 3: 540/821 Loss: 0.294831
2026-08-17 05:41: Train Epoch 3: 560/821 Loss: 0.277320
2026-08-17 05:41: Train Epoch 3: 580/821 Loss: 0.267366
2026-08-17 05:41: Train Epoch 3: 600/821 Loss: 0.287462
2026-08-17 05:41: Train Epoch 3: 620/821 Loss: 0.293746
2026-08-17 05:41: Train Epoch 3: 640/821 Loss: 0.295577
2026-08-17 05:41: Train Epoch 3: 660/821 Loss: 0.288007
2026-08-17 05:41: Train Epoch 3: 680/821 Loss: 0.283674
2026-08-17 05:41: Train Epoch 3: 700/821 Loss: 0.286785
2026-08-17 05:41: Train Epoch 3: 720/821 Loss: 0.284585
2026-08-17 05:41: Train Epoch 3: 740/821 Loss: 0.268414
2026-08-17 05:41: Train Epoch 3: 760/821 Loss: 0.296077
2026-08-17 05:41: Train Epoch 3: 780/821 Loss: 0.286553
2026-08-17 05:41: Train Epoch 3: 800/821 Loss: 0.286358
2026-08-17 05:41: Train Epoch 3: 820/821 Loss: 0.286842
2026-08-17 05:41: **********Train Epoch 3: averaged Loss: 0.288116, tf_ratio: 1.000000
2026-08-17 05:41: **********Val Epoch 3: average Loss: 0.283662
2026-08-17 05:41: *********************************Current best model saved!
2026-08-17 05:41: Train Epoch 4: 0/821 Loss: 0.288568
2026-08-17 05:41: Train Epoch 4: 20/821 Loss: 0.284559
2026-08-17 05:41: Train Epoch 4: 40/821 Loss: 0.281177
2026-08-17 05:41: Train Epoch 4: 60/821 Loss: 0.288087
2026-08-17 05:41: Train Epoch 4: 80/821 Loss: 0.277644
