Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260814030658/run.log
2026-08-14 03:07: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260814030658
2026-08-14 03:09: **********Train Epoch 2: averaged Loss: 2.369577, tf_ratio: 1.000000
2026-08-14 03:09: **********Val Epoch 2: average Loss: 2.192847
2026-08-14 03:09: *********************************Current best model saved!
2026-08-14 03:09: Train Epoch 3: 0/821 Loss: 2.258487
2026-08-14 03:09: Train Epoch 3: 20/821 Loss: 2.144785
2026-08-14 03:09: Train Epoch 3: 40/821 Loss: 2.317327
2026-08-14 03:09: Train Epoch 3: 60/821 Loss: 2.279943
2026-08-14 03:09: Train Epoch 3: 80/821 Loss: 2.281201
2026-08-14 03:09: Train Epoch 3: 100/821 Loss: 2.354940
2026-08-14 03:09: Train Epoch 3: 120/821 Loss: 2.203480
2026-08-14 03:09: Train Epoch 3: 140/821 Loss: 2.162265
2026-08-14 03:09: Train Epoch 3: 160/821 Loss: 2.351887
2026-08-14 03:09: Train Epoch 3: 180/821 Loss: 2.262630
2026-08-14 03:09: Train Epoch 3: 200/821 Loss: 2.102048
2026-08-14 03:09: Train Epoch 3: 220/821 Loss: 2.258859
2026-08-14 03:09: Train Epoch 3: 240/821 Loss: 2.299261
2026-08-14 03:09: Train Epoch 3: 260/821 Loss: 2.327074
2026-08-14 03:09: Train Epoch 3: 280/821 Loss: 2.179992
2026-08-14 03:09: Train Epoch 3: 300/821 Loss: 2.216518
2026-08-14 03:09: Train Epoch 3: 320/821 Loss: 2.182424
2026-08-14 03:09: Train Epoch 3: 340/821 Loss: 2.169584
2026-08-14 03:09: Train Epoch 3: 360/821 Loss: 2.214655
2026-08-14 03:09: Train Epoch 3: 380/821 Loss: 2.113981
2026-08-14 03:09: Train Epoch 3: 400/821 Loss: 2.269438
2026-08-14 03:09: Train Epoch 3: 420/821 Loss: 2.096060
2026-08-14 03:09: Train Epoch 3: 440/821 Loss: 2.134890
2026-08-14 03:09: Train Epoch 3: 460/821 Loss: 2.144068
2026-08-14 03:09: Train Epoch 3: 480/821 Loss: 2.269519
2026-08-14 03:09: Train Epoch 3: 500/821 Loss: 2.200189
2026-08-14 03:09: Train Epoch 3: 520/821 Loss: 1.918983
2026-08-14 03:09: Train Epoch 3: 540/821 Loss: 2.183663
2026-08-14 03:09: Train Epoch 3: 560/821 Loss: 2.097449
2026-08-14 03:09: Train Epoch 3: 580/821 Loss: 2.049470
2026-08-14 03:09: Train Epoch 3: 600/821 Loss: 2.244871
2026-08-14 03:09: Train Epoch 3: 620/821 Loss: 2.216659
2026-08-14 03:09: Train Epoch 3: 640/821 Loss: 2.132237
2026-08-14 03:09: Train Epoch 3: 660/821 Loss: 2.275564
2026-08-14 03:10: Train Epoch 3: 680/821 Loss: 2.119228
2026-08-14 03:10: Train Epoch 3: 700/821 Loss: 2.157704
2026-08-14 03:10: Train Epoch 3: 720/821 Loss: 2.208849
2026-08-14 03:10: Train Epoch 3: 740/821 Loss: 2.011057
2026-08-14 03:10: Train Epoch 3: 760/821 Loss: 2.223433
2026-08-14 03:10: Train Epoch 3: 780/821 Loss: 2.185604
2026-08-14 03:10: Train Epoch 3: 800/821 Loss: 2.151791
2026-08-14 03:10: Train Epoch 3: 820/821 Loss: 2.206357
2026-08-14 03:10: **********Train Epoch 3: averaged Loss: 2.183060, tf_ratio: 1.000000
2026-08-14 03:10: **********Val Epoch 3: average Loss: 2.119218
2026-08-14 03:10: *********************************Current best model saved!
2026-08-14 03:10: Train Epoch 4: 0/821 Loss: 2.232615
2026-08-14 03:10: Train Epoch 4: 20/821 Loss: 2.181063
2026-08-14 03:10: Train Epoch 4: 40/821 Loss: 2.110985
2026-08-14 03:10: Train Epoch 4: 60/821 Loss: 2.137365
2026-08-14 03:10: Train Epoch 4: 80/821 Loss: 2.043494
2026-08-14 03:10: Train Epoch 4: 100/821 Loss: 2.358398
2026-08-14 03:10: Train Epoch 4: 120/821 Loss: 2.258547
2026-08-14 03:10: Train Epoch 4: 140/821 Loss: 2.160171
2026-08-14 03:10: Train Epoch 4: 160/821 Loss: 2.133676
2026-08-14 03:10: Train Epoch 4: 180/821 Loss: 2.074877
2026-08-14 03:10: Train Epoch 4: 200/821 Loss: 2.083299
2026-08-14 03:10: Train Epoch 4: 220/821 Loss: 1.998258
2026-08-14 03:10: Train Epoch 4: 240/821 Loss: 2.103633
2026-08-14 03:10: Train Epoch 4: 260/821 Loss: 2.100538
2026-08-14 03:10: Train Epoch 4: 280/821 Loss: 2.195674
2026-08-14 03:10: Train Epoch 4: 300/821 Loss: 1.972615
2026-08-14 03:10: Train Epoch 4: 320/821 Loss: 2.021024
2026-08-14 03:10: Train Epoch 4: 340/821 Loss: 2.158419
2026-08-14 03:10: Train Epoch 4: 360/821 Loss: 2.131416
2026-08-14 03:10: Train Epoch 4: 380/821 Loss: 2.139188
2026-08-14 03:10: Train Epoch 4: 400/821 Loss: 2.069035
2026-08-14 03:10: Train Epoch 4: 420/821 Loss: 2.145223
2026-08-14 03:10: Train Epoch 4: 440/821 Loss: 2.002342
2026-08-14 03:10: Train Epoch 4: 460/821 Loss: 2.132392
2026-08-14 03:10: Train Epoch 4: 480/821 Loss: 2.030088
2026-08-14 03:10: Train Epoch 4: 500/821 Loss: 2.113285
