Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823082527/run.log
2026-08-23 08:25: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823082527
2026-08-23 08:29: **********Train Epoch 1: averaged Loss: 0.115737, tf_ratio: 1.000000
2026-08-23 08:29: **********Val Epoch 1: average Loss: 0.137388
2026-08-23 08:29: *********************************Current best model saved!
2026-08-23 08:29: Train Epoch 2: 0/1641 Loss: 0.130637
2026-08-23 08:29: Train Epoch 2: 20/1641 Loss: 0.103993
2026-08-23 08:29: Train Epoch 2: 40/1641 Loss: 0.089507
2026-08-23 08:29: Train Epoch 2: 60/1641 Loss: 0.114394
2026-08-23 08:29: Train Epoch 2: 80/1641 Loss: 0.105785
2026-08-23 08:29: Train Epoch 2: 100/1641 Loss: 0.088964
2026-08-23 08:29: Train Epoch 2: 120/1641 Loss: 0.138017
2026-08-23 08:29: Train Epoch 2: 140/1641 Loss: 0.116146
2026-08-23 08:30: Train Epoch 2: 160/1641 Loss: 0.102197
2026-08-23 08:30: Train Epoch 2: 180/1641 Loss: 0.095405
2026-08-23 08:30: Train Epoch 2: 200/1641 Loss: 0.085490
2026-08-23 08:30: Train Epoch 2: 220/1641 Loss: 0.110605
2026-08-23 08:30: Train Epoch 2: 240/1641 Loss: 0.138503
2026-08-23 08:30: Train Epoch 2: 260/1641 Loss: 0.075062
2026-08-23 08:30: Train Epoch 2: 280/1641 Loss: 0.084636
2026-08-23 08:30: Train Epoch 2: 300/1641 Loss: 0.134281
2026-08-23 08:30: Train Epoch 2: 320/1641 Loss: 0.074433
2026-08-23 08:30: Train Epoch 2: 340/1641 Loss: 0.102732
2026-08-23 08:30: Train Epoch 2: 360/1641 Loss: 0.149673
2026-08-23 08:30: Train Epoch 2: 380/1641 Loss: 0.127761
2026-08-23 08:30: Train Epoch 2: 400/1641 Loss: 0.095448
2026-08-23 08:30: Train Epoch 2: 420/1641 Loss: 0.069385
2026-08-23 08:30: Train Epoch 2: 440/1641 Loss: 0.110609
2026-08-23 08:30: Train Epoch 2: 460/1641 Loss: 0.167316
2026-08-23 08:30: Train Epoch 2: 480/1641 Loss: 0.118804
2026-08-23 08:30: Train Epoch 2: 500/1641 Loss: 0.094646
2026-08-23 08:30: Train Epoch 2: 520/1641 Loss: 0.115928
2026-08-23 08:30: Train Epoch 2: 540/1641 Loss: 0.076497
2026-08-23 08:30: Train Epoch 2: 560/1641 Loss: 0.093679
2026-08-23 08:30: Train Epoch 2: 580/1641 Loss: 0.126890
2026-08-23 08:31: Train Epoch 2: 600/1641 Loss: 0.082507
2026-08-23 08:31: Train Epoch 2: 620/1641 Loss: 0.101147
2026-08-23 08:31: Train Epoch 2: 640/1641 Loss: 0.115662
2026-08-23 08:31: Train Epoch 2: 660/1641 Loss: 0.102548
2026-08-23 08:31: Train Epoch 2: 680/1641 Loss: 0.126990
2026-08-23 08:31: Train Epoch 2: 700/1641 Loss: 0.108157
2026-08-23 08:31: Train Epoch 2: 720/1641 Loss: 0.119973
2026-08-23 08:31: Train Epoch 2: 740/1641 Loss: 0.087551
2026-08-23 08:31: Train Epoch 2: 760/1641 Loss: 0.107391
2026-08-23 08:31: Train Epoch 2: 780/1641 Loss: 0.067066
2026-08-23 08:31: Train Epoch 2: 800/1641 Loss: 0.084440
2026-08-23 08:31: Train Epoch 2: 820/1641 Loss: 0.059326
2026-08-23 08:31: Train Epoch 2: 840/1641 Loss: 0.131707
2026-08-23 08:31: Train Epoch 2: 860/1641 Loss: 0.082163
2026-08-23 08:31: Train Epoch 2: 880/1641 Loss: 0.138898
2026-08-23 08:31: Train Epoch 2: 900/1641 Loss: 0.088216
2026-08-23 08:31: Train Epoch 2: 920/1641 Loss: 0.063625
2026-08-23 08:31: Train Epoch 2: 940/1641 Loss: 0.075050
2026-08-23 08:31: Train Epoch 2: 960/1641 Loss: 0.112041
2026-08-23 08:31: Train Epoch 2: 980/1641 Loss: 0.141012
2026-08-23 08:31: Train Epoch 2: 1000/1641 Loss: 0.086338
2026-08-23 08:31: Train Epoch 2: 1020/1641 Loss: 0.084806
2026-08-23 08:32: Train Epoch 2: 1040/1641 Loss: 0.121204
2026-08-23 08:32: Train Epoch 2: 1060/1641 Loss: 0.137403
2026-08-23 08:32: Train Epoch 2: 1080/1641 Loss: 0.095368
2026-08-23 08:32: Train Epoch 2: 1100/1641 Loss: 0.088187
2026-08-23 08:32: Train Epoch 2: 1120/1641 Loss: 0.092796
2026-08-23 08:32: Train Epoch 2: 1140/1641 Loss: 0.072560
2026-08-23 08:32: Train Epoch 2: 1160/1641 Loss: 0.107545
2026-08-23 08:32: Train Epoch 2: 1180/1641 Loss: 0.057021
2026-08-23 08:32: Train Epoch 2: 1200/1641 Loss: 0.100914
2026-08-23 08:32: Train Epoch 2: 1220/1641 Loss: 0.129125
2026-08-23 08:32: Train Epoch 2: 1240/1641 Loss: 0.124008
2026-08-23 08:32: Train Epoch 2: 1260/1641 Loss: 0.052557
2026-08-23 08:32: Train Epoch 2: 1280/1641 Loss: 0.085911
2026-08-23 08:32: Train Epoch 2: 1300/1641 Loss: 0.091221
2026-08-23 08:32: Train Epoch 2: 1320/1641 Loss: 0.083203
2026-08-23 08:32: Train Epoch 2: 1340/1641 Loss: 0.115098
2026-08-23 08:32: Train Epoch 2: 1360/1641 Loss: 0.120694
2026-08-23 08:32: Train Epoch 2: 1380/1641 Loss: 0.102656
2026-08-23 08:32: Train Epoch 2: 1400/1641 Loss: 0.162422
2026-08-23 08:32: Train Epoch 2: 1420/1641 Loss: 0.155216
2026-08-23 08:32: Train Epoch 2: 1440/1641 Loss: 0.097922
2026-08-23 08:33: Train Epoch 2: 1460/1641 Loss: 0.066330
2026-08-23 08:33: Train Epoch 2: 1480/1641 Loss: 0.081967
2026-08-23 08:33: Train Epoch 2: 1500/1641 Loss: 0.094155
2026-08-23 08:33: Train Epoch 2: 1520/1641 Loss: 0.106724
2026-08-23 08:33: Train Epoch 2: 1540/1641 Loss: 0.066581
2026-08-23 08:33: Train Epoch 2: 1560/1641 Loss: 0.178075
2026-08-23 08:33: Train Epoch 2: 1580/1641 Loss: 0.065413
2026-08-23 08:33: Train Epoch 2: 1600/1641 Loss: 0.170729
2026-08-23 08:33: Train Epoch 2: 1620/1641 Loss: 0.119660
2026-08-23 08:33: Train Epoch 2: 1640/1641 Loss: 0.111430
2026-08-23 08:33: **********Train Epoch 2: averaged Loss: 0.101592, tf_ratio: 1.000000
2026-08-23 08:33: **********Val Epoch 2: average Loss: 0.137259
2026-08-23 08:33: *********************************Current best model saved!
2026-08-23 08:33: Train Epoch 3: 0/1641 Loss: 0.086639
2026-08-23 08:33: Train Epoch 3: 20/1641 Loss: 0.062131
2026-08-23 08:33: Train Epoch 3: 40/1641 Loss: 0.091565
2026-08-23 08:33: Train Epoch 3: 60/1641 Loss: 0.132512
2026-08-23 08:33: Train Epoch 3: 80/1641 Loss: 0.131806
2026-08-23 08:34: Train Epoch 3: 100/1641 Loss: 0.115933
2026-08-23 08:34: Train Epoch 3: 120/1641 Loss: 0.087181
2026-08-23 08:34: Train Epoch 3: 140/1641 Loss: 0.129507
2026-08-23 08:34: Train Epoch 3: 160/1641 Loss: 0.120092
2026-08-23 08:34: Train Epoch 3: 180/1641 Loss: 0.109974
2026-08-23 08:34: Train Epoch 3: 200/1641 Loss: 0.112158
2026-08-23 08:34: Train Epoch 3: 220/1641 Loss: 0.066969
2026-08-23 08:34: Train Epoch 3: 240/1641 Loss: 0.114191
2026-08-23 08:34: Train Epoch 3: 260/1641 Loss: 0.105902
2026-08-23 08:34: Train Epoch 3: 280/1641 Loss: 0.104875
2026-08-23 08:34: Train Epoch 3: 300/1641 Loss: 0.108403
2026-08-23 08:34: Train Epoch 3: 320/1641 Loss: 0.110333
2026-08-23 08:34: Train Epoch 3: 340/1641 Loss: 0.125460
2026-08-23 08:34: Train Epoch 3: 360/1641 Loss: 0.097466
2026-08-23 08:34: Train Epoch 3: 380/1641 Loss: 0.114430
2026-08-23 08:34: Train Epoch 3: 400/1641 Loss: 0.181308
2026-08-23 08:34: Train Epoch 3: 420/1641 Loss: 0.100285
2026-08-23 08:34: Train Epoch 3: 440/1641 Loss: 0.112564
2026-08-23 08:34: Train Epoch 3: 460/1641 Loss: 0.098899
2026-08-23 08:34: Train Epoch 3: 480/1641 Loss: 0.136511
2026-08-23 08:34: Train Epoch 3: 500/1641 Loss: 0.069658
2026-08-23 08:34: Train Epoch 3: 520/1641 Loss: 0.089703
2026-08-23 08:35: Train Epoch 3: 540/1641 Loss: 0.097124
2026-08-23 08:35: Train Epoch 3: 560/1641 Loss: 0.133787
2026-08-23 08:35: Train Epoch 3: 580/1641 Loss: 0.101587
2026-08-23 08:35: Train Epoch 3: 600/1641 Loss: 0.114947
2026-08-23 08:35: Train Epoch 3: 620/1641 Loss: 0.160033
2026-08-23 08:35: Train Epoch 3: 640/1641 Loss: 0.145934
2026-08-23 08:35: Train Epoch 3: 660/1641 Loss: 0.157002
2026-08-23 08:35: Train Epoch 3: 680/1641 Loss: 0.053902
2026-08-23 08:35: Train Epoch 3: 700/1641 Loss: 0.064167
2026-08-23 08:35: Train Epoch 3: 720/1641 Loss: 0.078847
2026-08-23 08:35: Train Epoch 3: 740/1641 Loss: 0.105073
2026-08-23 08:35: Train Epoch 3: 760/1641 Loss: 0.077597
2026-08-23 08:35: Train Epoch 3: 780/1641 Loss: 0.096361
2026-08-23 08:35: Train Epoch 3: 800/1641 Loss: 0.086312
2026-08-23 08:35: Train Epoch 3: 820/1641 Loss: 0.111018
2026-08-23 08:35: Train Epoch 3: 840/1641 Loss: 0.069249
2026-08-23 08:35: Train Epoch 3: 860/1641 Loss: 0.122834
2026-08-23 08:35: Train Epoch 3: 880/1641 Loss: 0.099996
