Creat Log File in:  /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260821230405/run.log
2026-08-21 23:04: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260821230405
2026-08-21 23:07: **********Train Epoch 1: averaged Loss: 0.600839, tf_ratio: 1.000000
2026-08-21 23:08: **********Val Epoch 1: average Loss: 0.523369
2026-08-21 23:08: *********************************Current best model saved!
2026-08-21 23:08: Train Epoch 2: 0/1641 Loss: 0.577695
2026-08-21 23:08: Train Epoch 2: 20/1641 Loss: 0.573910
2026-08-21 23:08: Train Epoch 2: 40/1641 Loss: 0.526808
2026-08-21 23:08: Train Epoch 2: 60/1641 Loss: 0.544508
2026-08-21 23:08: Train Epoch 2: 80/1641 Loss: 0.529983
2026-08-21 23:08: Train Epoch 2: 100/1641 Loss: 0.529715
2026-08-21 23:08: Train Epoch 2: 120/1641 Loss: 0.524293
2026-08-21 23:08: Train Epoch 2: 140/1641 Loss: 0.530358
2026-08-21 23:08: Train Epoch 2: 160/1641 Loss: 0.554151
2026-08-21 23:08: Train Epoch 2: 180/1641 Loss: 0.556003
2026-08-21 23:08: Train Epoch 2: 200/1641 Loss: 0.524627
2026-08-21 23:08: Train Epoch 2: 220/1641 Loss: 0.506104
2026-08-21 23:08: Train Epoch 2: 240/1641 Loss: 0.586465
2026-08-21 23:08: Train Epoch 2: 260/1641 Loss: 0.544536
2026-08-21 23:09: Train Epoch 2: 280/1641 Loss: 0.558889
2026-08-21 23:09: Train Epoch 2: 300/1641 Loss: 0.538805
2026-08-21 23:09: Train Epoch 2: 320/1641 Loss: 0.585227
2026-08-21 23:09: Train Epoch 2: 340/1641 Loss: 0.537138
2026-08-21 23:09: Train Epoch 2: 360/1641 Loss: 0.558430
2026-08-21 23:09: Train Epoch 2: 380/1641 Loss: 0.548730
2026-08-21 23:09: Train Epoch 2: 400/1641 Loss: 0.557395
2026-08-21 23:09: Train Epoch 2: 420/1641 Loss: 0.550836
2026-08-21 23:09: Train Epoch 2: 440/1641 Loss: 0.554392
2026-08-21 23:09: Train Epoch 2: 460/1641 Loss: 0.537961
2026-08-21 23:09: Train Epoch 2: 480/1641 Loss: 0.538088
2026-08-21 23:09: Train Epoch 2: 500/1641 Loss: 0.535811
