2026-08-19 15:54: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819155420
2026-08-19 15:54: Train Epoch 1: 0/1641 Loss: 0.883841
2026-08-19 15:54: Train Epoch 1: 20/1641 Loss: 0.969578
2026-08-19 15:54: Train Epoch 1: 40/1641 Loss: 0.886415
2026-08-19 15:54: Train Epoch 1: 60/1641 Loss: 0.777436
2026-08-19 15:54: Train Epoch 1: 80/1641 Loss: 0.764555
2026-08-19 15:54: Train Epoch 1: 100/1641 Loss: 0.766551
2026-08-19 15:54: Train Epoch 1: 120/1641 Loss: 0.686521
2026-08-19 15:54: Train Epoch 1: 140/1641 Loss: 0.669457
2026-08-19 15:54: Train Epoch 1: 160/1641 Loss: 0.619444
2026-08-19 15:54: Train Epoch 1: 180/1641 Loss: 0.662543
2026-08-19 15:54: Train Epoch 1: 200/1641 Loss: 0.690098
2026-08-19 15:54: Train Epoch 1: 220/1641 Loss: 0.622181
2026-08-19 15:54: Train Epoch 1: 240/1641 Loss: 0.640370
2026-08-19 15:54: Train Epoch 1: 260/1641 Loss: 0.648681
2026-08-19 15:55: Train Epoch 1: 280/1641 Loss: 0.661243
2026-08-19 15:55: Train Epoch 1: 300/1641 Loss: 0.587509
2026-08-19 15:55: Train Epoch 1: 320/1641 Loss: 0.601245
2026-08-19 15:55: Train Epoch 1: 340/1641 Loss: 0.597361
2026-08-19 15:55: Train Epoch 1: 360/1641 Loss: 0.602593
2026-08-19 15:55: Train Epoch 1: 380/1641 Loss: 0.622066
2026-08-19 15:55: Train Epoch 1: 400/1641 Loss: 0.600989
2026-08-19 15:55: Train Epoch 1: 420/1641 Loss: 0.588391
2026-08-19 15:55: Train Epoch 1: 440/1641 Loss: 0.546389
2026-08-19 15:55: Train Epoch 1: 460/1641 Loss: 0.502140
2026-08-19 15:55: Train Epoch 1: 480/1641 Loss: 0.519235
2026-08-19 15:55: Train Epoch 1: 500/1641 Loss: 0.466757
2026-08-19 15:55: Train Epoch 1: 520/1641 Loss: 0.418976
2026-08-19 15:55: Train Epoch 1: 540/1641 Loss: 0.404380
2026-08-19 15:55: Train Epoch 1: 560/1641 Loss: 0.461320
2026-08-19 15:55: Train Epoch 1: 580/1641 Loss: 0.439052
2026-08-19 15:55: Train Epoch 1: 600/1641 Loss: 0.437530
2026-08-19 15:55: Train Epoch 1: 620/1641 Loss: 0.378164
2026-08-19 15:55: Train Epoch 1: 640/1641 Loss: 0.421650
2026-08-19 15:55: Train Epoch 1: 660/1641 Loss: 0.440953
2026-08-19 15:55: Train Epoch 1: 680/1641 Loss: 0.442055
2026-08-19 15:55: Train Epoch 1: 700/1641 Loss: 0.395891
2026-08-19 15:56: Train Epoch 1: 720/1641 Loss: 0.376034
2026-08-19 15:56: Train Epoch 1: 740/1641 Loss: 0.437700
2026-08-19 15:56: Train Epoch 1: 760/1641 Loss: 0.406946
2026-08-19 15:56: Train Epoch 1: 780/1641 Loss: 0.374395
2026-08-19 15:56: Train Epoch 1: 800/1641 Loss: 0.395886
2026-08-19 15:56: Train Epoch 1: 820/1641 Loss: 0.392698
2026-08-19 15:56: Train Epoch 1: 840/1641 Loss: 0.384079
2026-08-19 15:56: Train Epoch 1: 860/1641 Loss: 0.373579
2026-08-19 15:56: Train Epoch 1: 880/1641 Loss: 0.410072
2026-08-19 15:56: Train Epoch 1: 900/1641 Loss: 0.368913
2026-08-19 15:56: Train Epoch 1: 920/1641 Loss: 0.377728
2026-08-19 15:56: Train Epoch 1: 940/1641 Loss: 0.365287
2026-08-19 15:56: Train Epoch 1: 960/1641 Loss: 0.386524
2026-08-19 15:56: Train Epoch 1: 980/1641 Loss: 0.394711
2026-08-19 15:56: Train Epoch 1: 1000/1641 Loss: 0.383595
2026-08-19 15:56: Train Epoch 1: 1020/1641 Loss: 0.398948
2026-08-19 15:56: Train Epoch 1: 1040/1641 Loss: 0.378791
2026-08-19 15:56: Train Epoch 1: 1060/1641 Loss: 0.387600
2026-08-19 15:56: Train Epoch 1: 1080/1641 Loss: 0.339149
2026-08-19 15:56: Train Epoch 1: 1100/1641 Loss: 0.378211
2026-08-19 15:56: Train Epoch 1: 1120/1641 Loss: 0.392650
2026-08-19 15:56: Train Epoch 1: 1140/1641 Loss: 0.385671
2026-08-19 15:56: Train Epoch 1: 1160/1641 Loss: 0.365456
