=================================================================
Running Run.py | Seed: 1
=================================================================
/scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/lib/dataloader.py:80: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  X, Y = TensorFloat(X), TensorFloat(Y)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/chkkar002/.netrc.
wandb: Currently logged in as: chkkar002 (chkkar002-university-of-cape-town) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run fdthxuqf
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/wandb/run-20260823_122155-fdthxuqf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run AGCRN_Pressure
wandb: ⭐️ View project at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather
wandb: 🚀 View run at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather/runs/fdthxuqf
2026-08-23 12:21: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823122154
2026-08-23 12:21: Train Epoch 1: 0/1641 Loss: 0.990574
2026-08-23 12:22: Train Epoch 1: 20/1641 Loss: 0.976568
2026-08-23 12:22: Train Epoch 1: 40/1641 Loss: 0.833472
2026-08-23 12:22: Train Epoch 1: 60/1641 Loss: 0.453173
2026-08-23 12:22: Train Epoch 1: 80/1641 Loss: 0.266821
2026-08-23 12:22: Train Epoch 1: 100/1641 Loss: 0.171447
2026-08-23 12:22: Train Epoch 1: 120/1641 Loss: 0.142740
2026-08-23 12:22: Train Epoch 1: 140/1641 Loss: 0.105643
2026-08-23 12:22: Train Epoch 1: 160/1641 Loss: 0.099321
2026-08-23 12:22: Train Epoch 1: 180/1641 Loss: 0.089835
2026-08-23 12:22: Train Epoch 1: 200/1641 Loss: 0.094144
2026-08-23 12:22: Train Epoch 1: 220/1641 Loss: 0.077396
2026-08-23 12:22: Train Epoch 1: 240/1641 Loss: 0.084175
2026-08-23 12:22: Train Epoch 1: 260/1641 Loss: 0.072953
2026-08-23 12:22: Train Epoch 1: 280/1641 Loss: 0.075645
2026-08-23 12:22: Train Epoch 1: 300/1641 Loss: 0.079233
2026-08-23 12:22: Train Epoch 1: 320/1641 Loss: 0.078435
2026-08-23 12:22: Train Epoch 1: 340/1641 Loss: 0.080025
2026-08-23 12:22: Train Epoch 1: 360/1641 Loss: 0.076609
2026-08-23 12:22: Train Epoch 1: 380/1641 Loss: 0.066234
2026-08-23 12:22: Train Epoch 1: 400/1641 Loss: 0.075919
2026-08-23 12:22: Train Epoch 1: 420/1641 Loss: 0.062606
2026-08-23 12:22: Train Epoch 1: 440/1641 Loss: 0.063298
2026-08-23 12:22: Train Epoch 1: 460/1641 Loss: 0.068938
2026-08-23 12:23: Train Epoch 1: 480/1641 Loss: 0.069204
2026-08-23 12:23: Train Epoch 1: 500/1641 Loss: 0.089995
2026-08-23 12:23: Train Epoch 1: 520/1641 Loss: 0.070562
2026-08-23 12:23: Train Epoch 1: 540/1641 Loss: 0.069029
2026-08-23 12:23: Train Epoch 1: 560/1641 Loss: 0.075764
2026-08-23 12:23: Train Epoch 1: 580/1641 Loss: 0.062977
2026-08-23 12:23: Train Epoch 1: 600/1641 Loss: 0.065095
2026-08-23 12:23: Train Epoch 1: 620/1641 Loss: 0.077498
2026-08-23 12:23: Train Epoch 1: 640/1641 Loss: 0.070766
2026-08-23 12:23: Train Epoch 1: 660/1641 Loss: 0.075914
2026-08-23 12:23: Train Epoch 1: 680/1641 Loss: 0.069476
2026-08-23 12:23: Train Epoch 1: 700/1641 Loss: 0.068056
2026-08-23 12:23: Train Epoch 1: 720/1641 Loss: 0.062507
2026-08-23 12:23: Train Epoch 1: 740/1641 Loss: 0.073399
2026-08-23 12:23: Train Epoch 1: 760/1641 Loss: 0.063569
2026-08-23 12:23: Train Epoch 1: 780/1641 Loss: 0.084956
2026-08-23 12:23: Train Epoch 1: 800/1641 Loss: 0.070208
2026-08-23 12:23: Train Epoch 1: 820/1641 Loss: 0.063942
2026-08-23 12:23: Train Epoch 1: 840/1641 Loss: 0.078059
2026-08-23 12:23: Train Epoch 1: 860/1641 Loss: 0.065893
2026-08-23 12:23: Train Epoch 1: 880/1641 Loss: 0.077905
2026-08-23 12:23: Train Epoch 1: 900/1641 Loss: 0.070825
2026-08-23 12:24: Train Epoch 1: 920/1641 Loss: 0.062818
2026-08-23 12:24: Train Epoch 1: 940/1641 Loss: 0.055204
2026-08-23 12:24: Train Epoch 1: 960/1641 Loss: 0.063072
2026-08-23 12:24: Train Epoch 1: 980/1641 Loss: 0.067627
