2026-08-23 06:09: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823060957
2026-08-23 06:10: Train Epoch 1: 0/1641 Loss: 1.006889
2026-08-23 06:10: Train Epoch 1: 20/1641 Loss: 0.945663
2026-08-23 06:10: Train Epoch 1: 40/1641 Loss: 0.927428
2026-08-23 06:10: Train Epoch 1: 60/1641 Loss: 0.819233
2026-08-23 06:10: Train Epoch 1: 80/1641 Loss: 0.802757
2026-08-23 06:10: Train Epoch 1: 100/1641 Loss: 0.830718
2026-08-23 06:10: Train Epoch 1: 120/1641 Loss: 0.770175
2026-08-23 06:10: Train Epoch 1: 140/1641 Loss: 0.796238
2026-08-23 06:10: Train Epoch 1: 160/1641 Loss: 0.795935
2026-08-23 06:10: Train Epoch 1: 180/1641 Loss: 0.783570
2026-08-23 06:10: Train Epoch 1: 200/1641 Loss: 0.788211
2026-08-23 06:10: Train Epoch 1: 220/1641 Loss: 0.808471
2026-08-23 06:10: Train Epoch 1: 240/1641 Loss: 0.802029
2026-08-23 06:10: Train Epoch 1: 260/1641 Loss: 0.781774
2026-08-23 06:10: Train Epoch 1: 280/1641 Loss: 0.755151
2026-08-23 06:10: Train Epoch 1: 300/1641 Loss: 0.784905
2026-08-23 06:10: Train Epoch 1: 320/1641 Loss: 0.761537
2026-08-23 06:10: Train Epoch 1: 340/1641 Loss: 0.751136
2026-08-23 06:10: Train Epoch 1: 360/1641 Loss: 0.761714
2026-08-23 06:10: Train Epoch 1: 380/1641 Loss: 0.806531
2026-08-23 06:10: Train Epoch 1: 400/1641 Loss: 0.774920
2026-08-23 06:10: Train Epoch 1: 420/1641 Loss: 0.771498
2026-08-23 06:11: Train Epoch 1: 440/1641 Loss: 0.760322
2026-08-23 06:11: Train Epoch 1: 460/1641 Loss: 0.759372
2026-08-23 06:11: Train Epoch 1: 480/1641 Loss: 0.764317
2026-08-23 06:11: Train Epoch 1: 500/1641 Loss: 0.749123
2026-08-23 06:11: Train Epoch 1: 520/1641 Loss: 0.750476
2026-08-23 06:11: Train Epoch 1: 540/1641 Loss: 0.745814
2026-08-23 06:11: Train Epoch 1: 560/1641 Loss: 0.760306
2026-08-23 06:11: Train Epoch 1: 580/1641 Loss: 0.768076
2026-08-23 06:11: Train Epoch 1: 600/1641 Loss: 0.756793
2026-08-23 06:11: Train Epoch 1: 620/1641 Loss: 0.754348
2026-08-23 06:11: Train Epoch 1: 640/1641 Loss: 0.748153
2026-08-23 06:11: Train Epoch 1: 660/1641 Loss: 0.767994
2026-08-23 06:11: Train Epoch 1: 680/1641 Loss: 0.729159
2026-08-23 06:11: Train Epoch 1: 700/1641 Loss: 0.760562
2026-08-23 06:11: Train Epoch 1: 720/1641 Loss: 0.733617
2026-08-23 06:11: Train Epoch 1: 740/1641 Loss: 0.746664
2026-08-23 06:11: Train Epoch 1: 760/1641 Loss: 0.722259
2026-08-23 06:11: Train Epoch 1: 780/1641 Loss: 0.797825
2026-08-23 06:11: Train Epoch 1: 800/1641 Loss: 0.753011
2026-08-23 06:11: Train Epoch 1: 820/1641 Loss: 0.731472
2026-08-23 06:11: Train Epoch 1: 840/1641 Loss: 0.775812
2026-08-23 06:11: Train Epoch 1: 860/1641 Loss: 0.742720
2026-08-23 06:12: Train Epoch 1: 880/1641 Loss: 0.727139
2026-08-23 06:12: Train Epoch 1: 900/1641 Loss: 0.751708
2026-08-23 06:12: Train Epoch 1: 920/1641 Loss: 0.746933
2026-08-23 06:12: Train Epoch 1: 940/1641 Loss: 0.715976
2026-08-23 06:12: Train Epoch 1: 960/1641 Loss: 0.722468
2026-08-23 06:12: Train Epoch 1: 980/1641 Loss: 0.730752
2026-08-23 06:12: Train Epoch 1: 1000/1641 Loss: 0.752874
2026-08-23 06:12: Train Epoch 1: 1020/1641 Loss: 0.721968
2026-08-23 06:12: Train Epoch 1: 1040/1641 Loss: 0.704068
2026-08-23 06:12: Train Epoch 1: 1060/1641 Loss: 0.753550
2026-08-23 06:12: Train Epoch 1: 1080/1641 Loss: 0.725336
2026-08-23 06:12: Train Epoch 1: 1100/1641 Loss: 0.709191
2026-08-23 06:12: Train Epoch 1: 1120/1641 Loss: 0.699390
2026-08-23 06:12: Train Epoch 1: 1140/1641 Loss: 0.696352
2026-08-23 06:12: Train Epoch 1: 1160/1641 Loss: 0.692825
2026-08-23 06:12: Train Epoch 1: 1180/1641 Loss: 0.690978
2026-08-23 06:12: Train Epoch 1: 1200/1641 Loss: 0.703460
2026-08-23 06:12: Train Epoch 1: 1220/1641 Loss: 0.714218
2026-08-23 06:12: Train Epoch 1: 1240/1641 Loss: 0.692762
2026-08-23 06:12: Train Epoch 1: 1260/1641 Loss: 0.707991
2026-08-23 06:12: Train Epoch 1: 1280/1641 Loss: 0.696355
2026-08-23 06:12: Train Epoch 1: 1300/1641 Loss: 0.695099
2026-08-23 06:13: Train Epoch 1: 1320/1641 Loss: 0.664027
2026-08-23 06:13: Train Epoch 1: 1340/1641 Loss: 0.686193
2026-08-23 06:13: Train Epoch 1: 1360/1641 Loss: 0.690728
2026-08-23 06:13: Train Epoch 1: 1380/1641 Loss: 0.691514
2026-08-23 06:13: Train Epoch 1: 1400/1641 Loss: 0.681897
2026-08-23 06:13: Train Epoch 1: 1420/1641 Loss: 0.712243
2026-08-23 06:13: Train Epoch 1: 1440/1641 Loss: 0.689913
2026-08-23 06:13: Train Epoch 1: 1460/1641 Loss: 0.694438
2026-08-23 06:13: Train Epoch 1: 1480/1641 Loss: 0.682347
2026-08-23 06:13: Train Epoch 1: 1500/1641 Loss: 0.711925
2026-08-23 06:13: Train Epoch 1: 1520/1641 Loss: 0.681770
2026-08-23 06:13: Train Epoch 1: 1540/1641 Loss: 0.688589
2026-08-23 06:13: Train Epoch 1: 1560/1641 Loss: 0.675763
2026-08-23 06:13: Train Epoch 1: 1580/1641 Loss: 0.681409
