=================================================================
Running Run.py | Seed: 1 | Teacher Forcing: True
=================================================================
/scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/lib/dataloader.py:80: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  X, Y = TensorFloat(X), TensorFloat(Y)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/chkkar002/.netrc.
wandb: Currently logged in as: chkkar002 (chkkar002-university-of-cape-town) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run hiuhptss
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/wandb/run-20260819_141209-hiuhptss
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run AGCRN_realval
wandb: ⭐️ View project at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather
wandb: 🚀 View run at https://wandb.ai/chkkar002-university-of-cape-town/stgnn-weather/runs/hiuhptss
2026-08-19 14:12: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/20260819141209
2026-08-19 14:15: Train Epoch 1: 1380/1641 Loss: 0.376188
2026-08-19 14:15: Train Epoch 1: 1400/1641 Loss: 0.353501
2026-08-19 14:15: Train Epoch 1: 1420/1641 Loss: 0.339045
2026-08-19 14:15: Train Epoch 1: 1440/1641 Loss: 0.348135
2026-08-19 14:15: Train Epoch 1: 1460/1641 Loss: 0.356450
2026-08-19 14:15: Train Epoch 1: 1480/1641 Loss: 0.363815
2026-08-19 14:15: Train Epoch 1: 1500/1641 Loss: 0.361312
2026-08-19 14:15: Train Epoch 1: 1520/1641 Loss: 0.390085
2026-08-19 14:15: Train Epoch 1: 1540/1641 Loss: 0.368671
2026-08-19 14:15: Train Epoch 1: 1560/1641 Loss: 0.386411
2026-08-19 14:15: Train Epoch 1: 1580/1641 Loss: 0.373134
2026-08-19 14:15: Train Epoch 1: 1600/1641 Loss: 0.355342
2026-08-19 14:16: Train Epoch 1: 1620/1641 Loss: 0.345791
2026-08-19 14:16: Train Epoch 1: 1640/1641 Loss: 0.379139
2026-08-19 14:16: **********Train Epoch 1: averaged Loss: 0.466525, tf_ratio: 0.998866
2026-08-19 14:16: **********Val Epoch 1: average Loss: 0.352032
2026-08-19 14:16: *********************************Current best model saved!
2026-08-19 14:16: Train Epoch 2: 0/1641 Loss: 0.330382
2026-08-19 14:16: Train Epoch 2: 20/1641 Loss: 0.356416
2026-08-19 14:16: Train Epoch 2: 40/1641 Loss: 0.343792
2026-08-19 14:16: Train Epoch 2: 60/1641 Loss: 0.357086
2026-08-19 14:16: Train Epoch 2: 80/1641 Loss: 0.389985
2026-08-19 14:16: Train Epoch 2: 100/1641 Loss: 0.367231
2026-08-19 14:16: Train Epoch 2: 120/1641 Loss: 0.342638
2026-08-19 14:16: Train Epoch 2: 140/1641 Loss: 0.329353
2026-08-19 14:16: Train Epoch 2: 160/1641 Loss: 0.390240
2026-08-19 14:16: Train Epoch 2: 180/1641 Loss: 0.382197
2026-08-19 14:16: Train Epoch 2: 200/1641 Loss: 0.322263
2026-08-19 14:16: Train Epoch 2: 220/1641 Loss: 0.358545
2026-08-19 14:17: Train Epoch 2: 240/1641 Loss: 0.331129
2026-08-19 14:17: Train Epoch 2: 260/1641 Loss: 0.340558
2026-08-19 14:17: Train Epoch 2: 280/1641 Loss: 0.350401
2026-08-19 14:17: Train Epoch 2: 300/1641 Loss: 0.354045
2026-08-19 14:17: Train Epoch 2: 320/1641 Loss: 0.373397
2026-08-19 14:17: Train Epoch 2: 340/1641 Loss: 0.329264
2026-08-19 14:17: Train Epoch 2: 360/1641 Loss: 0.357242
2026-08-19 14:17: Train Epoch 2: 380/1641 Loss: 0.350777
2026-08-19 14:17: Train Epoch 2: 400/1641 Loss: 0.354089
2026-08-19 14:17: Train Epoch 2: 420/1641 Loss: 0.334442
2026-08-19 14:17: Train Epoch 2: 440/1641 Loss: 0.364045
2026-08-19 14:17: Train Epoch 2: 460/1641 Loss: 0.358874
2026-08-19 14:17: Train Epoch 2: 480/1641 Loss: 0.334219
2026-08-19 14:17: Train Epoch 2: 500/1641 Loss: 0.337109
2026-08-19 14:17: Train Epoch 2: 520/1641 Loss: 0.341571
2026-08-19 14:17: Train Epoch 2: 540/1641 Loss: 0.352002
2026-08-19 14:17: Train Epoch 2: 560/1641 Loss: 0.357833
2026-08-19 14:17: Train Epoch 2: 580/1641 Loss: 0.356706
2026-08-19 14:17: Train Epoch 2: 600/1641 Loss: 0.361254
2026-08-19 14:17: Train Epoch 2: 620/1641 Loss: 0.355934
2026-08-19 14:17: Train Epoch 2: 640/1641 Loss: 0.328330
2026-08-19 14:18: Train Epoch 2: 660/1641 Loss: 0.326889
2026-08-19 14:18: Train Epoch 2: 680/1641 Loss: 0.339635
2026-08-19 14:18: Train Epoch 2: 700/1641 Loss: 0.346436
2026-08-19 14:18: Train Epoch 2: 720/1641 Loss: 0.331585
2026-08-19 14:18: Train Epoch 2: 740/1641 Loss: 0.309344
