2026-08-16 23:26: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/AGCRN/model/experiments/SAWS/trial14_20260816232626
2026-08-16 23:26: Train Epoch 1: 0/1642 Loss: 16.712496
2026-08-16 23:26: Train Epoch 1: 20/1642 Loss: 9.339018
2026-08-16 23:26: Train Epoch 1: 40/1642 Loss: 5.602802
2026-08-16 23:26: Train Epoch 1: 60/1642 Loss: 5.426933
2026-08-16 23:26: Train Epoch 1: 80/1642 Loss: 5.385839
2026-08-16 23:26: Train Epoch 1: 100/1642 Loss: 5.159922
2026-08-16 23:26: Train Epoch 1: 120/1642 Loss: 4.608636
2026-08-16 23:26: Train Epoch 1: 140/1642 Loss: 5.299744
2026-08-16 23:26: Train Epoch 1: 160/1642 Loss: 4.679543
2026-08-16 23:26: Train Epoch 1: 180/1642 Loss: 4.639177
2026-08-16 23:26: Train Epoch 1: 200/1642 Loss: 4.514228
2026-08-16 23:26: Train Epoch 1: 220/1642 Loss: 4.581110
2026-08-16 23:27: Train Epoch 1: 240/1642 Loss: 4.510726
2026-08-16 23:27: Train Epoch 1: 260/1642 Loss: 4.596918
2026-08-16 23:27: Train Epoch 1: 280/1642 Loss: 4.345532
2026-08-16 23:27: Train Epoch 1: 300/1642 Loss: 4.275507
2026-08-16 23:27: Train Epoch 1: 320/1642 Loss: 3.663123
2026-08-16 23:27: Train Epoch 1: 340/1642 Loss: 3.958445
2026-08-16 23:27: Train Epoch 1: 360/1642 Loss: 3.615045
2026-08-16 23:27: Train Epoch 1: 380/1642 Loss: 3.416934
2026-08-16 23:27: Train Epoch 1: 400/1642 Loss: 3.384092
2026-08-16 23:27: Train Epoch 1: 420/1642 Loss: 3.203958
2026-08-16 23:27: Train Epoch 1: 440/1642 Loss: 2.808167
2026-08-16 23:27: Train Epoch 1: 460/1642 Loss: 2.850259
2026-08-16 23:27: Train Epoch 1: 480/1642 Loss: 3.234962
2026-08-16 23:27: Train Epoch 1: 500/1642 Loss: 2.773366
2026-08-16 23:27: Train Epoch 1: 520/1642 Loss: 2.831034
2026-08-16 23:27: Train Epoch 1: 540/1642 Loss: 3.066950
2026-08-16 23:27: Train Epoch 1: 560/1642 Loss: 2.774632
2026-08-16 23:27: Train Epoch 1: 580/1642 Loss: 2.791503
2026-08-16 23:27: Train Epoch 1: 600/1642 Loss: 2.793674
2026-08-16 23:27: Train Epoch 1: 620/1642 Loss: 2.979134
2026-08-16 23:27: Train Epoch 1: 640/1642 Loss: 2.630274
2026-08-16 23:27: Train Epoch 1: 660/1642 Loss: 2.660663
2026-08-16 23:27: Train Epoch 1: 680/1642 Loss: 2.758704
2026-08-16 23:28: Train Epoch 1: 700/1642 Loss: 2.574187
2026-08-16 23:28: Train Epoch 1: 720/1642 Loss: 2.667639
2026-08-16 23:28: Train Epoch 1: 740/1642 Loss: 2.608574
2026-08-16 23:28: Train Epoch 1: 760/1642 Loss: 2.478779
2026-08-16 23:28: Train Epoch 1: 780/1642 Loss: 2.481973
2026-08-16 23:28: Train Epoch 1: 800/1642 Loss: 2.601631
2026-08-16 23:28: Train Epoch 1: 820/1642 Loss: 2.476251
2026-08-16 23:28: Train Epoch 1: 840/1642 Loss: 2.501343
2026-08-16 23:28: Train Epoch 1: 860/1642 Loss: 2.471000
2026-08-16 23:28: Train Epoch 1: 880/1642 Loss: 2.579988
2026-08-16 23:28: Train Epoch 1: 900/1642 Loss: 2.568435
2026-08-16 23:28: Train Epoch 1: 920/1642 Loss: 2.525268
2026-08-16 23:28: Train Epoch 1: 940/1642 Loss: 2.384866
2026-08-16 23:28: Train Epoch 1: 960/1642 Loss: 2.383393
2026-08-16 23:28: Train Epoch 1: 980/1642 Loss: 2.287413
2026-08-16 23:28: Train Epoch 1: 1000/1642 Loss: 2.312184
2026-08-16 23:28: Train Epoch 1: 1020/1642 Loss: 2.505518
2026-08-16 23:28: Train Epoch 1: 1040/1642 Loss: 2.263271
2026-08-16 23:28: Train Epoch 1: 1060/1642 Loss: 2.386504
2026-08-16 23:28: Train Epoch 1: 1080/1642 Loss: 2.423096
2026-08-16 23:28: Train Epoch 1: 1100/1642 Loss: 2.439310
2026-08-16 23:28: Train Epoch 1: 1120/1642 Loss: 2.250384
2026-08-16 23:29: Train Epoch 1: 1140/1642 Loss: 2.141410
2026-08-16 23:29: Train Epoch 1: 1160/1642 Loss: 2.256985
2026-08-16 23:29: Train Epoch 1: 1180/1642 Loss: 2.491070
2026-08-16 23:29: Train Epoch 1: 1200/1642 Loss: 2.218336
2026-08-16 23:29: Train Epoch 1: 1220/1642 Loss: 2.230374
2026-08-16 23:29: Train Epoch 1: 1240/1642 Loss: 2.299589
2026-08-16 23:29: Train Epoch 1: 1260/1642 Loss: 2.349520
2026-08-16 23:29: Train Epoch 1: 1280/1642 Loss: 2.234762
2026-08-16 23:29: Train Epoch 1: 1300/1642 Loss: 2.368274
2026-08-16 23:29: Train Epoch 1: 1320/1642 Loss: 2.175092
2026-08-16 23:29: Train Epoch 1: 1340/1642 Loss: 2.241583
2026-08-16 23:29: Train Epoch 1: 1360/1642 Loss: 2.348948
2026-08-16 23:29: Train Epoch 1: 1380/1642 Loss: 2.271533
2026-08-16 23:29: Train Epoch 1: 1400/1642 Loss: 2.376425
2026-08-16 23:29: Train Epoch 1: 1420/1642 Loss: 2.260586
2026-08-16 23:29: Train Epoch 1: 1440/1642 Loss: 2.357735
2026-08-16 23:29: Train Epoch 1: 1460/1642 Loss: 2.644922
2026-08-16 23:29: Train Epoch 1: 1480/1642 Loss: 2.156083
2026-08-16 23:29: Train Epoch 1: 1500/1642 Loss: 2.336867
2026-08-16 23:29: Train Epoch 1: 1520/1642 Loss: 2.286938
2026-08-16 23:29: Train Epoch 1: 1540/1642 Loss: 2.507061
2026-08-16 23:29: Train Epoch 1: 1560/1642 Loss: 2.261106
2026-08-16 23:29: Train Epoch 1: 1580/1642 Loss: 2.303790
2026-08-16 23:30: Train Epoch 1: 1600/1642 Loss: 2.266256
2026-08-16 23:30: Train Epoch 1: 1620/1642 Loss: 2.263917
2026-08-16 23:30: Train Epoch 1: 1640/1642 Loss: 2.179598
2026-08-16 23:30: **********Train Epoch 1: averaged Loss: 3.164721, tf_ratio: 1.000000
2026-08-16 23:30: **********Val Epoch 1: average Loss: 2.197298
2026-08-16 23:30: *********************************Current best model saved!
2026-08-16 23:30: Train Epoch 2: 0/1642 Loss: 2.373710
2026-08-16 23:30: Train Epoch 2: 20/1642 Loss: 2.246439
2026-08-16 23:30: Train Epoch 2: 40/1642 Loss: 2.308198
2026-08-16 23:30: Train Epoch 2: 60/1642 Loss: 2.160309
2026-08-16 23:30: Train Epoch 2: 80/1642 Loss: 2.229812
2026-08-16 23:30: Train Epoch 2: 100/1642 Loss: 2.247123
2026-08-16 23:30: Train Epoch 2: 120/1642 Loss: 2.209401
2026-08-16 23:30: Train Epoch 2: 140/1642 Loss: 2.265733
2026-08-16 23:30: Train Epoch 2: 160/1642 Loss: 2.090563
2026-08-16 23:30: Train Epoch 2: 180/1642 Loss: 2.454569
2026-08-16 23:30: Train Epoch 2: 200/1642 Loss: 2.167130
2026-08-16 23:30: Train Epoch 2: 220/1642 Loss: 2.517655
2026-08-16 23:31: Train Epoch 2: 240/1642 Loss: 2.412994
2026-08-16 23:31: Train Epoch 2: 260/1642 Loss: 2.141857
2026-08-16 23:31: Train Epoch 2: 280/1642 Loss: 2.210869
2026-08-16 23:31: Train Epoch 2: 300/1642 Loss: 2.183923
2026-08-16 23:31: Train Epoch 2: 320/1642 Loss: 2.279566
2026-08-16 23:31: Train Epoch 2: 340/1642 Loss: 2.182746
2026-08-16 23:31: Train Epoch 2: 360/1642 Loss: 2.188993
2026-08-16 23:31: Train Epoch 2: 380/1642 Loss: 2.248969
2026-08-16 23:31: Train Epoch 2: 400/1642 Loss: 2.111333
2026-08-16 23:31: Train Epoch 2: 420/1642 Loss: 2.304101
2026-08-16 23:31: Train Epoch 2: 440/1642 Loss: 2.098199
2026-08-16 23:31: Train Epoch 2: 460/1642 Loss: 2.282262
2026-08-16 23:31: Train Epoch 2: 480/1642 Loss: 2.172893
2026-08-16 23:31: Train Epoch 2: 500/1642 Loss: 2.090379
2026-08-16 23:31: Train Epoch 2: 520/1642 Loss: 2.200560
2026-08-16 23:31: Train Epoch 2: 540/1642 Loss: 2.244128
2026-08-16 23:31: Train Epoch 2: 560/1642 Loss: 2.360826
2026-08-16 23:31: Train Epoch 2: 580/1642 Loss: 2.218217
2026-08-16 23:31: Train Epoch 2: 600/1642 Loss: 2.194118
2026-08-16 23:31: Train Epoch 2: 620/1642 Loss: 2.170541
2026-08-16 23:31: Train Epoch 2: 640/1642 Loss: 2.288723
2026-08-16 23:31: Train Epoch 2: 660/1642 Loss: 2.070061
2026-08-16 23:31: Train Epoch 2: 680/1642 Loss: 2.150585
2026-08-16 23:32: Train Epoch 2: 700/1642 Loss: 2.433781
2026-08-16 23:32: Train Epoch 2: 720/1642 Loss: 2.377213
2026-08-16 23:32: Train Epoch 2: 740/1642 Loss: 2.364974
2026-08-16 23:32: Train Epoch 2: 760/1642 Loss: 2.394435
2026-08-16 23:32: Train Epoch 2: 780/1642 Loss: 2.180716
2026-08-16 23:32: Train Epoch 2: 800/1642 Loss: 2.199144
2026-08-16 23:32: Train Epoch 2: 820/1642 Loss: 2.289172
2026-08-16 23:32: Train Epoch 2: 840/1642 Loss: 2.182578
2026-08-16 23:32: Train Epoch 2: 860/1642 Loss: 2.340451
2026-08-16 23:32: Train Epoch 2: 880/1642 Loss: 2.076339
2026-08-16 23:32: Train Epoch 2: 900/1642 Loss: 2.137955
2026-08-16 23:32: Train Epoch 2: 920/1642 Loss: 2.158224
2026-08-16 23:32: Train Epoch 2: 940/1642 Loss: 1.947968
2026-08-16 23:32: Train Epoch 2: 960/1642 Loss: 2.198042
2026-08-16 23:32: Train Epoch 2: 980/1642 Loss: 2.108236
2026-08-16 23:32: Train Epoch 2: 1000/1642 Loss: 2.303619
2026-08-16 23:32: Train Epoch 2: 1020/1642 Loss: 2.238935
2026-08-16 23:32: Train Epoch 2: 1040/1642 Loss: 2.114885
2026-08-16 23:32: Train Epoch 2: 1060/1642 Loss: 2.153098
2026-08-16 23:32: Train Epoch 2: 1080/1642 Loss: 2.225376
2026-08-16 23:32: Train Epoch 2: 1100/1642 Loss: 2.301564
2026-08-16 23:32: Train Epoch 2: 1120/1642 Loss: 2.257246
2026-08-16 23:33: Train Epoch 2: 1140/1642 Loss: 2.073659
2026-08-16 23:33: Train Epoch 2: 1160/1642 Loss: 2.481559
2026-08-16 23:33: Train Epoch 2: 1180/1642 Loss: 2.329366
2026-08-16 23:33: Train Epoch 2: 1200/1642 Loss: 2.204924
2026-08-16 23:33: Train Epoch 2: 1220/1642 Loss: 2.069421
2026-08-16 23:33: Train Epoch 2: 1240/1642 Loss: 2.143523
2026-08-16 23:33: Train Epoch 2: 1260/1642 Loss: 2.113984
2026-08-16 23:33: Train Epoch 2: 1280/1642 Loss: 2.100760
2026-08-16 23:33: Train Epoch 2: 1300/1642 Loss: 1.870674
2026-08-16 23:33: Train Epoch 2: 1320/1642 Loss: 2.096442
2026-08-16 23:33: Train Epoch 2: 1340/1642 Loss: 2.208757
2026-08-16 23:33: Train Epoch 2: 1360/1642 Loss: 2.398421
2026-08-16 23:33: Train Epoch 2: 1380/1642 Loss: 2.205210
2026-08-16 23:33: Train Epoch 2: 1400/1642 Loss: 2.090806
2026-08-16 23:33: Train Epoch 2: 1420/1642 Loss: 2.230664
2026-08-16 23:33: Train Epoch 2: 1440/1642 Loss: 2.306633
2026-08-16 23:33: Train Epoch 2: 1460/1642 Loss: 2.302001
2026-08-16 23:33: Train Epoch 2: 1480/1642 Loss: 2.392058
2026-08-16 23:33: Train Epoch 2: 1500/1642 Loss: 2.273712
2026-08-16 23:33: Train Epoch 2: 1520/1642 Loss: 2.321563
2026-08-16 23:33: Train Epoch 2: 1540/1642 Loss: 2.279788
2026-08-16 23:33: Train Epoch 2: 1560/1642 Loss: 2.111006
2026-08-16 23:33: Train Epoch 2: 1580/1642 Loss: 2.174114
2026-08-16 23:34: Train Epoch 2: 1600/1642 Loss: 2.144022
2026-08-16 23:34: Train Epoch 2: 1620/1642 Loss: 2.328155
2026-08-16 23:34: Train Epoch 2: 1640/1642 Loss: 2.245012
2026-08-16 23:34: **********Train Epoch 2: averaged Loss: 2.219850, tf_ratio: 1.000000
2026-08-16 23:34: **********Val Epoch 2: average Loss: 2.077009
2026-08-16 23:34: *********************************Current best model saved!
