2026-08-23 04:49: Experiment log path in: /scratch/chkkar002/Diffusion_Based_STGNNs/RealValue/AGCRN/model/experiments/SAWS/20260823044947
2026-08-23 04:53: Train Epoch 2: 0/1641 Loss: 0.691823
2026-08-23 04:53: Train Epoch 2: 20/1641 Loss: 0.689254
2026-08-23 04:54: Train Epoch 2: 40/1641 Loss: 0.647610
2026-08-23 04:54: Train Epoch 2: 60/1641 Loss: 0.651370
2026-08-23 04:54: Train Epoch 2: 80/1641 Loss: 0.662286
2026-08-23 04:54: Train Epoch 2: 100/1641 Loss: 0.666152
2026-08-23 04:54: Train Epoch 2: 120/1641 Loss: 0.676954
2026-08-23 04:54: Train Epoch 2: 140/1641 Loss: 0.658843
2026-08-23 04:54: Train Epoch 2: 160/1641 Loss: 0.658339
2026-08-23 04:54: Train Epoch 2: 180/1641 Loss: 0.668604
2026-08-23 04:54: Train Epoch 2: 200/1641 Loss: 0.672976
2026-08-23 04:54: Train Epoch 2: 220/1641 Loss: 0.658232
2026-08-23 04:54: Train Epoch 2: 240/1641 Loss: 0.660402
2026-08-23 04:54: Train Epoch 2: 260/1641 Loss: 0.682991
2026-08-23 04:54: Train Epoch 2: 280/1641 Loss: 0.662553
2026-08-23 04:54: Train Epoch 2: 300/1641 Loss: 0.675628
2026-08-23 04:54: Train Epoch 2: 320/1641 Loss: 0.658184
2026-08-23 04:54: Train Epoch 2: 340/1641 Loss: 0.675087
2026-08-23 04:54: Train Epoch 2: 360/1641 Loss: 0.663172
2026-08-23 04:54: Train Epoch 2: 380/1641 Loss: 0.681780
2026-08-23 04:54: Train Epoch 2: 400/1641 Loss: 0.662797
2026-08-23 04:54: Train Epoch 2: 420/1641 Loss: 0.628722
2026-08-23 04:54: Train Epoch 2: 440/1641 Loss: 0.655343
2026-08-23 04:54: Train Epoch 2: 460/1641 Loss: 0.663840
2026-08-23 04:54: Train Epoch 2: 480/1641 Loss: 0.667513
2026-08-23 04:55: Train Epoch 2: 500/1641 Loss: 0.673300
2026-08-23 04:55: Train Epoch 2: 520/1641 Loss: 0.647195
2026-08-23 04:55: Train Epoch 2: 540/1641 Loss: 0.676995
2026-08-23 04:55: Train Epoch 2: 560/1641 Loss: 0.663821
2026-08-23 04:55: Train Epoch 2: 580/1641 Loss: 0.656463
2026-08-23 04:55: Train Epoch 2: 600/1641 Loss: 0.639802
2026-08-23 04:55: Train Epoch 2: 620/1641 Loss: 0.652749
2026-08-23 04:55: Train Epoch 2: 640/1641 Loss: 0.651502
2026-08-23 04:55: Train Epoch 2: 660/1641 Loss: 0.640258
2026-08-23 04:55: Train Epoch 2: 680/1641 Loss: 0.663995
2026-08-23 04:55: Train Epoch 2: 700/1641 Loss: 0.673588
2026-08-23 04:55: Train Epoch 2: 720/1641 Loss: 0.658761
2026-08-23 04:55: Train Epoch 2: 740/1641 Loss: 0.638748
2026-08-23 04:55: Train Epoch 2: 760/1641 Loss: 0.665863
2026-08-23 04:55: Train Epoch 2: 780/1641 Loss: 0.654647
2026-08-23 04:55: Train Epoch 2: 800/1641 Loss: 0.661721
2026-08-23 04:55: Train Epoch 2: 820/1641 Loss: 0.637988
2026-08-23 04:55: Train Epoch 2: 840/1641 Loss: 0.629580
2026-08-23 04:55: Train Epoch 2: 860/1641 Loss: 0.664162
2026-08-23 04:55: Train Epoch 2: 880/1641 Loss: 0.643508
2026-08-23 04:55: Train Epoch 2: 900/1641 Loss: 0.637320
2026-08-23 04:55: Train Epoch 2: 920/1641 Loss: 0.672885
2026-08-23 04:56: Train Epoch 2: 940/1641 Loss: 0.651460
2026-08-23 04:56: Train Epoch 2: 960/1641 Loss: 0.654571
2026-08-23 04:56: Train Epoch 2: 980/1641 Loss: 0.662760
2026-08-23 04:56: Train Epoch 2: 1000/1641 Loss: 0.676955
2026-08-23 04:56: Train Epoch 2: 1020/1641 Loss: 0.646031
2026-08-23 04:56: Train Epoch 2: 1040/1641 Loss: 0.645234
2026-08-23 04:56: Train Epoch 2: 1060/1641 Loss: 0.660782
2026-08-23 04:56: Train Epoch 2: 1080/1641 Loss: 0.660754
2026-08-23 04:56: Train Epoch 2: 1100/1641 Loss: 0.644343
2026-08-23 04:56: Train Epoch 2: 1120/1641 Loss: 0.643035
2026-08-23 04:56: Train Epoch 2: 1140/1641 Loss: 0.645081
2026-08-23 04:56: Train Epoch 2: 1160/1641 Loss: 0.650471
2026-08-23 04:56: Train Epoch 2: 1180/1641 Loss: 0.642007
2026-08-23 04:56: Train Epoch 2: 1200/1641 Loss: 0.684387
2026-08-23 04:56: Train Epoch 2: 1220/1641 Loss: 0.680494
2026-08-23 04:56: Train Epoch 2: 1240/1641 Loss: 0.666662
2026-08-23 04:56: Train Epoch 2: 1260/1641 Loss: 0.654946
2026-08-23 04:56: Train Epoch 2: 1280/1641 Loss: 0.636706
2026-08-23 04:56: Train Epoch 2: 1300/1641 Loss: 0.658503
2026-08-23 04:56: Train Epoch 2: 1320/1641 Loss: 0.649975
2026-08-23 04:56: Train Epoch 2: 1340/1641 Loss: 0.654834
2026-08-23 04:56: Train Epoch 2: 1360/1641 Loss: 0.645370
2026-08-23 04:57: Train Epoch 2: 1380/1641 Loss: 0.665657
2026-08-23 04:57: Train Epoch 2: 1400/1641 Loss: 0.645144
2026-08-23 04:57: Train Epoch 2: 1420/1641 Loss: 0.658734
2026-08-23 04:57: Train Epoch 2: 1440/1641 Loss: 0.641477
2026-08-23 04:57: Train Epoch 2: 1460/1641 Loss: 0.640958
2026-08-23 04:57: Train Epoch 2: 1480/1641 Loss: 0.655443
2026-08-23 04:57: Train Epoch 2: 1500/1641 Loss: 0.645236
2026-08-23 04:57: Train Epoch 2: 1520/1641 Loss: 0.651094
2026-08-23 04:57: Train Epoch 2: 1540/1641 Loss: 0.631716
2026-08-23 04:57: Train Epoch 2: 1560/1641 Loss: 0.648925
2026-08-23 04:57: Train Epoch 2: 1580/1641 Loss: 0.631202
2026-08-23 04:57: Train Epoch 2: 1600/1641 Loss: 0.606281
2026-08-23 04:57: Train Epoch 2: 1620/1641 Loss: 0.646730
2026-08-23 04:57: Train Epoch 2: 1640/1641 Loss: 0.644437
2026-08-23 04:57: **********Train Epoch 2: averaged Loss: 0.657394, tf_ratio: 1.000000
2026-08-23 04:57: **********Val Epoch 2: average Loss: 0.660495
2026-08-23 04:57: *********************************Current best model saved!
2026-08-23 04:57: Train Epoch 3: 0/1641 Loss: 0.643704
2026-08-23 04:58: Train Epoch 3: 20/1641 Loss: 0.616600
2026-08-23 04:58: Train Epoch 3: 40/1641 Loss: 0.670680
2026-08-23 04:58: Train Epoch 3: 60/1641 Loss: 0.639548
2026-08-23 04:58: Train Epoch 3: 80/1641 Loss: 0.656012
2026-08-23 04:58: Train Epoch 3: 100/1641 Loss: 0.634861
2026-08-23 04:58: Train Epoch 3: 120/1641 Loss: 0.639092
2026-08-23 04:58: Train Epoch 3: 140/1641 Loss: 0.649618
2026-08-23 04:58: Train Epoch 3: 160/1641 Loss: 0.632850
2026-08-23 04:58: Train Epoch 3: 180/1641 Loss: 0.655832
2026-08-23 04:58: Train Epoch 3: 200/1641 Loss: 0.653947
2026-08-23 04:58: Train Epoch 3: 220/1641 Loss: 0.620961
2026-08-23 04:58: Train Epoch 3: 240/1641 Loss: 0.608868
2026-08-23 04:58: Train Epoch 3: 260/1641 Loss: 0.640105
2026-08-23 04:58: Train Epoch 3: 280/1641 Loss: 0.634730
2026-08-23 04:58: Train Epoch 3: 300/1641 Loss: 0.658782
2026-08-23 04:58: Train Epoch 3: 320/1641 Loss: 0.670759
2026-08-23 04:58: Train Epoch 3: 340/1641 Loss: 0.629886
2026-08-23 04:58: Train Epoch 3: 360/1641 Loss: 0.641111
2026-08-23 04:58: Train Epoch 3: 380/1641 Loss: 0.634583
2026-08-23 04:58: Train Epoch 3: 400/1641 Loss: 0.609695
2026-08-23 04:58: Train Epoch 3: 420/1641 Loss: 0.619477
2026-08-23 04:58: Train Epoch 3: 440/1641 Loss: 0.651363
2026-08-23 04:59: Train Epoch 3: 460/1641 Loss: 0.641335
2026-08-23 04:59: Train Epoch 3: 480/1641 Loss: 0.631301
2026-08-23 04:59: Train Epoch 3: 500/1641 Loss: 0.647570
2026-08-23 04:59: Train Epoch 3: 520/1641 Loss: 0.626170
2026-08-23 04:59: Train Epoch 3: 540/1641 Loss: 0.644482
2026-08-23 04:59: Train Epoch 3: 560/1641 Loss: 0.643854
2026-08-23 04:59: Train Epoch 3: 580/1641 Loss: 0.638974
2026-08-23 04:59: Train Epoch 3: 600/1641 Loss: 0.618455
2026-08-23 04:59: Train Epoch 3: 620/1641 Loss: 0.622060
2026-08-23 04:59: Train Epoch 3: 640/1641 Loss: 0.647226
2026-08-23 04:59: Train Epoch 3: 660/1641 Loss: 0.659835
2026-08-23 04:59: Train Epoch 3: 680/1641 Loss: 0.614087
2026-08-23 04:59: Train Epoch 3: 700/1641 Loss: 0.660760
2026-08-23 04:59: Train Epoch 3: 720/1641 Loss: 0.647888
2026-08-23 04:59: Train Epoch 3: 740/1641 Loss: 0.620123
2026-08-23 04:59: Train Epoch 3: 760/1641 Loss: 0.625040
2026-08-23 04:59: Train Epoch 3: 780/1641 Loss: 0.619030
2026-08-23 04:59: Train Epoch 3: 800/1641 Loss: 0.658812
2026-08-23 04:59: Train Epoch 3: 820/1641 Loss: 0.646285
2026-08-23 04:59: Train Epoch 3: 840/1641 Loss: 0.629160
2026-08-23 04:59: Train Epoch 3: 860/1641 Loss: 0.654654
2026-08-23 04:59: Train Epoch 3: 880/1641 Loss: 0.625668
2026-08-23 04:59: Train Epoch 3: 900/1641 Loss: 0.626395
2026-08-23 05:00: Train Epoch 3: 920/1641 Loss: 0.634631
2026-08-23 05:00: Train Epoch 3: 940/1641 Loss: 0.612194
2026-08-23 05:00: Train Epoch 3: 960/1641 Loss: 0.623448
2026-08-23 05:00: Train Epoch 3: 980/1641 Loss: 0.624365
2026-08-23 05:00: Train Epoch 3: 1000/1641 Loss: 0.635902
2026-08-23 05:00: Train Epoch 3: 1020/1641 Loss: 0.623309
2026-08-23 05:00: Train Epoch 3: 1040/1641 Loss: 0.631782
2026-08-23 05:00: Train Epoch 3: 1060/1641 Loss: 0.620244
2026-08-23 05:00: Train Epoch 3: 1080/1641 Loss: 0.633995
2026-08-23 05:00: Train Epoch 3: 1100/1641 Loss: 0.656047
2026-08-23 05:00: Train Epoch 3: 1120/1641 Loss: 0.641612
2026-08-23 05:00: Train Epoch 3: 1140/1641 Loss: 0.608798
2026-08-23 05:00: Train Epoch 3: 1160/1641 Loss: 0.627866
2026-08-23 05:00: Train Epoch 3: 1180/1641 Loss: 0.612793
2026-08-23 05:00: Train Epoch 3: 1200/1641 Loss: 0.653363
2026-08-23 05:00: Train Epoch 3: 1220/1641 Loss: 0.641571
2026-08-23 05:00: Train Epoch 3: 1240/1641 Loss: 0.647546
2026-08-23 05:00: Train Epoch 3: 1260/1641 Loss: 0.612478
2026-08-23 05:00: Train Epoch 3: 1280/1641 Loss: 0.640017
2026-08-23 05:00: Train Epoch 3: 1300/1641 Loss: 0.638086
2026-08-23 05:00: Train Epoch 3: 1320/1641 Loss: 0.638743
2026-08-23 05:00: Train Epoch 3: 1340/1641 Loss: 0.618749
2026-08-23 05:01: Train Epoch 3: 1360/1641 Loss: 0.629314
2026-08-23 05:01: Train Epoch 3: 1380/1641 Loss: 0.638598
2026-08-23 05:01: Train Epoch 3: 1400/1641 Loss: 0.629524
2026-08-23 05:01: Train Epoch 3: 1420/1641 Loss: 0.620063
2026-08-23 05:01: Train Epoch 3: 1440/1641 Loss: 0.637501
2026-08-23 05:01: Train Epoch 3: 1460/1641 Loss: 0.613960
2026-08-23 05:01: Train Epoch 3: 1480/1641 Loss: 0.651251
2026-08-23 05:01: Train Epoch 3: 1500/1641 Loss: 0.636518
2026-08-23 05:01: Train Epoch 3: 1520/1641 Loss: 0.632605
2026-08-23 05:01: Train Epoch 3: 1540/1641 Loss: 0.611950
2026-08-23 05:01: Train Epoch 3: 1560/1641 Loss: 0.635776
2026-08-23 05:01: Train Epoch 3: 1580/1641 Loss: 0.617365
2026-08-23 05:01: Train Epoch 3: 1600/1641 Loss: 0.630897
2026-08-23 05:01: Train Epoch 3: 1620/1641 Loss: 0.634458
2026-08-23 05:01: Train Epoch 3: 1640/1641 Loss: 0.641138
2026-08-23 05:01: **********Train Epoch 3: averaged Loss: 0.637815, tf_ratio: 1.000000
2026-08-23 05:01: **********Val Epoch 3: average Loss: 0.652931
2026-08-23 05:01: *********************************Current best model saved!
2026-08-23 05:01: Train Epoch 4: 0/1641 Loss: 0.636592
2026-08-23 05:02: Train Epoch 4: 20/1641 Loss: 0.607422
2026-08-23 05:02: Train Epoch 4: 40/1641 Loss: 0.611776
2026-08-23 05:02: Train Epoch 4: 60/1641 Loss: 0.666959
2026-08-23 05:02: Train Epoch 4: 80/1641 Loss: 0.648610
2026-08-23 05:02: Train Epoch 4: 100/1641 Loss: 0.619197
2026-08-23 05:02: Train Epoch 4: 120/1641 Loss: 0.663129
2026-08-23 05:02: Train Epoch 4: 140/1641 Loss: 0.634150
2026-08-23 05:02: Train Epoch 4: 160/1641 Loss: 0.628298
2026-08-23 05:02: Train Epoch 4: 180/1641 Loss: 0.635668
2026-08-23 05:02: Train Epoch 4: 200/1641 Loss: 0.617170
2026-08-23 05:02: Train Epoch 4: 220/1641 Loss: 0.603014
2026-08-23 05:02: Train Epoch 4: 240/1641 Loss: 0.645539
2026-08-23 05:02: Train Epoch 4: 260/1641 Loss: 0.647692
2026-08-23 05:02: Train Epoch 4: 280/1641 Loss: 0.632593
2026-08-23 05:02: Train Epoch 4: 300/1641 Loss: 0.643623
2026-08-23 05:02: Train Epoch 4: 320/1641 Loss: 0.596010
2026-08-23 05:02: Train Epoch 4: 340/1641 Loss: 0.627767
2026-08-23 05:02: Train Epoch 4: 360/1641 Loss: 0.612259
2026-08-23 05:02: Train Epoch 4: 380/1641 Loss: 0.633206
2026-08-23 05:02: Train Epoch 4: 400/1641 Loss: 0.615747
2026-08-23 05:02: Train Epoch 4: 420/1641 Loss: 0.646484
2026-08-23 05:02: Train Epoch 4: 440/1641 Loss: 0.637553
2026-08-23 05:03: Train Epoch 4: 460/1641 Loss: 0.648947
2026-08-23 05:03: Train Epoch 4: 480/1641 Loss: 0.623053
2026-08-23 05:03: Train Epoch 4: 500/1641 Loss: 0.649619
2026-08-23 05:03: Train Epoch 4: 520/1641 Loss: 0.630060
2026-08-23 05:03: Train Epoch 4: 540/1641 Loss: 0.658575
2026-08-23 05:03: Train Epoch 4: 560/1641 Loss: 0.623309
2026-08-23 05:03: Train Epoch 4: 580/1641 Loss: 0.638579
2026-08-23 05:03: Train Epoch 4: 600/1641 Loss: 0.611503
2026-08-23 05:03: Train Epoch 4: 620/1641 Loss: 0.600236
2026-08-23 05:03: Train Epoch 4: 640/1641 Loss: 0.630781
2026-08-23 05:03: Train Epoch 4: 660/1641 Loss: 0.609340
2026-08-23 05:03: Train Epoch 4: 680/1641 Loss: 0.637329
